Time,TT
2015-07-01T18:04:14,42.0
2015-07-02T18:03:59,41.0
2015-07-07T18:02:19,59.0
2015-07-09T18:36:46,63.0
2015-07-09T18:38:24,42.0
2015-07-10T16:40:57,46.0
2015-07-10T18:21:37,47.0
2015-07-13T18:04:33,52.0
2015-07-14T17:31:08,48.0
2015-07-14T18:39:41,52.0
2015-07-15T18:00:31,53.0
2015-07-15T18:33:00,82.0
2015-07-16T18:34:48,90.0
2015-07-17T18:04:05,51.0
2015-07-17T18:34:02,66.0
2015-07-20T18:33:17,49.0
2015-07-21T16:40:55,48.0
2015-07-21T17:06:05,52.0
2015-07-21T18:04:12,60.0
2015-07-21T18:39:52,58.0
2015-07-22T18:01:59,46.0
2015-07-22T19:00:56,44.0
2015-07-23T18:03:11,47.0
2015-07-24T17:59:26,51.0
2015-07-27T18:14:15,61.0
2015-07-27T18:30:15,52.0
2015-07-28T18:11:58,48.0
2015-07-28T18:36:21,48.0
2015-07-29T18:03:18,46.0
2015-07-30T18:09:39,47.0
2015-07-31T17:12:11,49.0
2015-07-31T18:04:50,46.0
2015-07-31T18:31:44,44.0
2015-08-03T18:39:37,48.0
2015-08-04T18:33:05,42.0
2015-08-05T18:02:10,46.0
2015-08-06T18:18:44,56.0
2015-08-06T18:36:29,60.0
2015-08-10T17:58:55,60.0
2015-08-10T18:03:36,47.0
2015-08-11T18:00:16,51.0
2015-08-12T18:08:04,48.0
2015-08-12T18:35:07,63.0
2015-08-13T18:38:08,20.0
2015-08-14T18:32:25,56.0
2015-08-17T18:34:59,47.0
2015-08-18T18:01:42,56.0
2015-08-18T18:38:01,48.0
2015-08-19T16:36:00,47.0
2015-08-19T17:37:08,61.0
2015-08-19T18:03:22,52.0
2015-08-20T18:07:01,56.0
2015-08-20T18:39:33,53.0
2015-08-21T18:11:23,54.0
2015-08-21T18:34:49,69.0
2015-08-24T18:09:25,53.0
2015-08-24T18:35:29,50.0
2015-08-25T17:23:07,45.0
2015-08-25T18:37:30,45.0
2015-08-27T18:14:26,47.0
2015-08-27T18:52:20,61.0
2015-08-28T17:24:14,45.0
2015-08-28T17:35:57,48.0
2015-08-28T18:06:32,44.0
2015-07-01T18:04:14,42.0
2015-07-01T18:10:27,45.0
2015-07-02T18:03:59,41.0
2015-07-06T18:31:33,49.0
2015-07-07T17:26:04,47.0
2015-07-07T17:54:40,52.0
2015-07-07T18:02:19,59.0
2015-07-07T18:15:15,46.0
2015-07-08T17:10:58,46.0
2015-07-09T16:57:14,59.0
2015-07-09T17:06:03,52.0
2015-07-09T17:41:09,47.0
2015-07-09T18:33:27,63.0
2015-07-09T18:36:46,63.0
2015-07-09T18:38:24,42.0
2015-07-10T16:40:57,46.0
2015-07-10T17:56:47,68.0
2015-07-10T18:21:37,47.0
2015-07-10T18:38:47,51.0
2015-07-13T18:04:33,52.0
2015-07-14T17:23:04,53.0
2015-07-14T17:31:08,48.0
2015-07-14T18:39:41,52.0
2015-07-14T18:27:54,41.0
2015-07-15T16:44:08,50.0
2015-07-15T17:50:04,47.0
2015-07-15T18:00:31,53.0
2015-07-16T18:34:48,90.0
2015-07-17T17:55:51,52.0
2015-07-17T18:04:05,51.0
2015-07-17T18:08:51,61.0
2015-07-17T18:34:02,66.0
2015-07-20T17:33:05,55.0
2015-07-20T18:33:17,49.0
2015-07-20T18:40:46,44.0
2015-07-21T16:40:55,48.0
2015-07-21T16:55:52,46.0
2015-07-21T17:06:05,52.0
2015-07-21T18:04:12,60.0
2015-07-21T18:39:52,58.0
2015-07-22T18:01:59,46.0
2015-07-22T19:00:56,44.0
2015-07-23T17:26:35,48.0
2015-07-23T18:03:11,47.0
2015-07-24T16:48:01,26.0
2015-07-24T17:14:09,47.0
2015-07-24T17:57:40,72.0
2015-07-24T17:59:26,51.0
2015-07-24T18:33:55,76.0
2015-08-03T16:53:19,54.0
2015-08-03T18:39:37,48.0
2015-08-04T17:11:33,54.0
2015-08-04T18:33:05,42.0
2015-08-05T17:57:42,54.0
2015-08-05T18:02:10,46.0
2015-08-06T16:53:25,69.0
2015-08-06T17:28:30,50.0
2015-08-06T18:12:16,45.0
2015-08-06T18:18:44,56.0
2015-08-06T18:36:29,60.0
2015-08-07T16:56:22,56.0
2015-08-07T18:23:50,59.0
