Time,TT
2015-07-04T05:46:05,96.0
2015-07-04T06:26:32,78.0
2015-07-04T06:48:53,100.0
2015-07-04T07:28:42,72.0
2015-07-04T08:21:12,84.0
2015-07-04T08:27:24,83.0
2015-07-05T05:49:48,90.0
2015-07-05T06:07:50,67.0
2015-07-05T06:27:37,59.0
2015-07-05T07:29:15,90.0
2015-07-05T07:53:13,85.0
2015-07-05T08:10:56,91.0
2015-07-11T06:28:07,82.0
2015-07-11T06:47:31,98.0
2015-07-12T05:27:06,81.0
2015-07-12T05:44:57,90.0
2015-07-12T06:07:13,57.0
2015-07-12T07:08:07,116.0
2015-07-12T07:31:57,120.0
2015-07-12T07:52:33,55.0
2015-07-12T08:13:15,101.0
2015-07-18T06:30:08,66.0
2015-07-19T05:46:28,80.0
2015-07-19T06:07:19,63.0
2015-07-19T07:31:14,58.0
2015-07-19T07:51:24,90.0
2015-07-19T08:06:29,80.0
2015-07-25T06:29:15,102.0
2015-07-26T06:23:31,84.0
2015-07-26T06:31:29,54.0
2015-07-26T06:53:00,72.0
2015-07-26T08:32:11,78.0
2015-07-04T05:06:46,62.0
2015-07-26T05:12:54,72.0
2015-08-01T06:28:56,99.0
2015-08-02T05:47:10,117.0
2015-08-02T06:07:39,83.0
2015-08-02T06:51:17,69.0
2015-08-02T07:32:02,101.0
2015-08-02T07:49:59,80.0
2015-08-02T08:13:14,63.0
2015-08-02T08:30:22,63.0
2015-08-08T06:32:33,119.0
2015-08-09T05:47:35,113.0
2015-08-09T06:10:30,74.0
2015-08-09T06:48:14,60.0
2015-08-09T07:34:18,90.0
2015-08-09T07:50:02,72.0
2015-08-09T08:08:11,52.0
2015-08-15T06:26:55,100.0
2015-08-16T06:06:16,66.0
2015-08-16T06:26:32,107.0
2015-08-16T06:47:22,50.0
2015-08-16T07:50:28,150.0
2015-08-16T08:10:57,84.0
2015-08-16T08:39:11,54.0
2015-08-22T06:26:05,87.0
2015-08-23T05:45:41,77.0
2015-08-23T07:01:00,60.0
2015-08-23T07:57:26,77.0
2015-08-23T08:14:03,102.0
2015-08-23T08:36:22,71.0
2015-08-29T06:28:17,120.0
2015-08-30T05:46:10,80.0
2015-08-30T06:10:07,78.0
2015-08-30T06:34:10,56.0
2015-08-30T06:50:19,84.0
2015-08-30T07:24:15,76.0
2015-08-30T07:49:33,67.0
2015-08-30T08:27:42,63.0
2015-08-02T05:05:37,80.0
2015-08-09T05:07:55,94.0
2015-08-16T05:06:06,90.0
2015-08-23T05:09:25,77.0
2015-08-30T05:06:12,102.0
2015-07-03T06:14:22,28.0
2015-07-03T06:59:53,32.0
2015-07-04T06:26:32,78.0
2015-07-05T05:49:48,90.0
2015-07-05T06:07:50,67.0
2015-07-05T06:27:37,59.0
2015-07-05T07:29:15,90.0
2015-07-05T07:53:13,85.0
2015-07-05T08:10:56,91.0
2015-07-11T05:27:53,82.0
2015-07-11T05:44:54,68.0
2015-07-11T06:28:07,82.0
2015-07-11T06:47:31,98.0
2015-07-12T05:27:06,81.0
2015-07-12T05:44:57,90.0
2015-07-12T06:07:13,57.0
2015-07-12T07:08:07,116.0
2015-07-12T07:31:57,120.0
2015-07-12T07:52:33,55.0
2015-07-12T08:13:15,101.0
2015-07-18T06:30:08,66.0
2015-07-19T05:46:28,80.0
2015-07-19T06:07:19,63.0
2015-07-19T07:31:14,58.0
2015-07-19T07:51:24,90.0
2015-07-19T08:06:29,80.0
2015-07-25T06:29:15,102.0
2015-07-25T06:49:22,80.0
2015-07-26T05:38:04,132.0
2015-07-26T06:23:31,84.0
2015-07-26T06:31:29,54.0
2015-07-26T06:53:00,72.0
2015-07-26T07:15:56,185.0
2015-07-26T08:32:11,78.0
2015-07-25T05:07:23,112.0
2015-07-26T05:12:54,72.0
2015-08-01T05:45:32,70.0
2015-08-01T06:28:56,99.0
2015-08-01T06:46:35,108.0
2015-08-02T05:25:50,68.0
2015-08-02T05:47:10,117.0
2015-08-02T06:07:39,83.0
2015-08-02T06:51:17,69.0
2015-08-02T07:06:28,117.0
2015-08-02T07:32:02,101.0
2015-08-02T07:49:59,80.0
2015-08-02T08:13:14,63.0
2015-08-02T08:30:22,63.0
2015-08-08T06:32:33,119.0
2015-08-08T06:48:57,129.0
2015-08-09T05:47:35,113.0
2015-08-09T06:10:30,74.0
2015-08-09T06:48:14,60.0
2015-08-09T07:34:18,90.0
2015-08-09T07:50:02,72.0
2015-08-09T08:08:11,52.0
2015-08-15T06:26:55,100.0
2015-08-16T06:06:16,66.0
2015-08-16T06:26:32,107.0
2015-08-16T06:47:22,50.0
2015-08-16T07:50:28,150.0
2015-08-16T08:10:57,84.0
2015-08-16T08:39:11,54.0
2015-08-22T06:26:05,87.0
2015-08-23T05:27:33,103.0
2015-08-23T05:45:41,77.0
2015-08-23T07:01:00,60.0
2015-08-23T07:07:29,60.0
2015-08-23T07:57:26,77.0
2015-08-23T08:14:03,102.0
2015-08-23T08:36:22,71.0
2015-08-01T05:05:18,74.0
2015-08-02T05:05:37,80.0
2015-08-08T05:05:01,103.0
2015-08-09T05:07:55,94.0
2015-08-16T05:06:06,90.0
2015-08-23T05:09:25,77.0
2015-09-06T05:49:00,69.0
2015-09-06T06:03:38,68.0
2015-09-06T06:26:44,98.0
2015-09-06T06:49:01,86.0
2015-09-06T07:27:02,67.0
2015-09-06T07:47:44,54.0
2015-09-06T08:09:12,73.0
2015-09-06T08:27:47,90.0
2015-09-07T05:25:58,59.0
2015-09-07T06:25:28,80.0
2015-09-07T06:53:17,56.0
2015-09-07T07:16:03,46.0
2015-09-07T08:11:21,68.0
2015-09-07T08:27:57,79.0
