Time,TT
2015-07-01T02:09:50,30.0
2015-07-01T02:35:08,30.0
2015-07-01T03:02:40,30.0
2015-07-01T03:40:45,14.0
2015-07-01T04:04:06,30.0
2015-07-01T04:33:27,30.0
2015-07-02T01:04:48,30.0
2015-07-02T02:08:14,30.0
2015-07-02T02:35:14,31.0
2015-07-02T03:44:49,29.0
2015-07-02T04:03:32,20.0
2015-07-03T01:06:19,22.0
2015-07-03T02:02:26,13.0
2015-07-03T02:34:08,22.0
2015-07-03T03:34:19,30.0
2015-07-03T04:08:30,30.0
2015-07-04T02:11:17,14.0
2015-07-04T05:00:53,30.0
2015-07-05T05:00:55,32.0
2015-07-06T01:04:42,30.0
2015-07-06T02:36:35,31.0
2015-07-06T04:01:36,30.0
2015-07-07T01:02:13,30.0
2015-07-07T02:32:55,30.0
2015-07-07T03:03:00,31.0
2015-07-07T04:03:33,28.0
2015-07-07T04:32:30,32.0
2015-07-08T01:06:36,22.0
2015-07-08T01:36:56,12.0
2015-07-08T02:33:48,21.0
2015-07-08T03:05:22,30.0
2015-07-08T03:33:13,27.0
2015-07-08T04:03:58,30.0
2015-07-08T04:34:34,37.0
2015-07-09T01:04:09,26.0
2015-07-09T01:39:02,13.0
2015-07-09T02:34:43,15.0
2015-07-09T03:06:09,30.0
2015-07-09T04:04:05,31.0
2015-07-09T04:33:08,26.0
2015-07-10T01:08:08,19.0
2015-07-10T02:35:50,10.0
2015-07-10T03:04:36,33.0
2015-07-10T04:03:55,26.0
2015-07-10T04:34:50,37.0
2015-07-11T01:04:54,6.0
2015-07-11T02:14:48,13.0
2015-07-11T03:06:52,30.0
2015-07-11T03:44:34,11.0
2015-07-11T04:35:08,30.0
2015-07-13T01:33:12,13.0
2015-07-13T02:08:06,30.0
2015-07-13T03:02:23,28.0
2015-07-13T03:44:30,30.0
2015-07-13T04:32:29,30.0
2015-07-14T01:02:32,12.0
2015-07-14T01:33:25,19.0
2015-07-14T02:24:39,8.0
2015-07-14T02:35:20,20.0
2015-07-14T03:02:21,32.0
2015-07-14T03:50:48,30.0
2015-07-14T04:03:40,20.0
2015-07-14T04:33:26,39.0
2015-07-15T01:03:34,17.0
2015-07-15T01:35:48,11.0
2015-07-15T02:05:49,9.0
2015-07-15T02:45:35,19.0
2015-07-15T03:04:36,26.0
2015-07-15T03:38:20,19.0
2015-07-15T03:59:02,20.0
2015-07-15T04:31:54,20.0
2015-07-16T01:08:23,19.0
2015-07-16T01:34:25,13.0
2015-07-16T02:05:59,20.0
2015-07-16T02:32:37,30.0
2015-07-16T03:02:34,30.0
2015-07-16T03:32:53,31.0
2015-07-16T04:04:25,28.0
2015-07-16T04:34:35,18.0
2015-07-17T01:07:54,14.0
2015-07-17T01:35:12,11.0
2015-07-17T02:35:41,18.0
2015-07-17T03:06:19,31.0
2015-07-17T03:36:13,30.0
2015-07-17T04:01:08,30.0
2015-07-17T04:34:53,30.0
2015-07-18T03:33:37,30.0
2015-07-18T05:02:49,30.0
2015-07-19T02:04:53,19.0
2015-07-19T03:35:28,30.0
2015-07-20T01:06:06,30.0
2015-07-20T02:37:12,29.0
2015-07-20T03:01:58,30.0
2015-07-20T04:07:22,10.0
2015-07-20T04:32:22,13.0
2015-07-21T01:33:20,13.0
2015-07-21T02:17:32,18.0
2015-07-21T03:02:51,28.0
2015-07-21T04:31:55,22.0
2015-07-22T01:03:49,13.0
2015-07-22T01:37:03,14.0
2015-07-22T02:32:43,28.0
2015-07-22T03:31:29,30.0
2015-07-22T04:02:12,30.0
2015-07-23T01:04:42,19.0
2015-07-23T01:38:49,13.0
2015-07-23T02:04:56,20.0
2015-07-23T02:36:46,12.0
2015-07-23T03:05:41,30.0
2015-07-23T03:35:35,30.0
2015-07-23T04:04:15,30.0
2015-07-23T04:34:16,34.0
2015-07-24T01:07:16,30.0
2015-07-24T01:39:34,14.0
2015-07-24T02:06:20,21.0
2015-07-24T02:36:31,30.0
2015-07-24T03:04:23,29.0
2015-07-24T03:34:22,19.0
2015-07-24T04:05:59,30.0
2015-07-24T04:33:18,24.0
2015-07-25T01:11:34,30.0
2015-07-25T02:12:23,27.0
2015-07-25T02:37:40,31.0
2015-07-25T03:05:25,30.0
2015-07-25T03:43:22,30.0
2015-07-25T04:02:28,30.0
2015-07-25T04:35:23,20.0
2015-07-25T05:00:46,30.0
2015-07-26T01:06:32,11.0
2015-07-26T01:38:58,15.0
2015-07-26T02:08:25,30.0
2015-07-26T02:37:50,24.0
2015-07-26T03:06:34,30.0
2015-07-26T03:35:19,20.0
2015-07-26T04:05:46,30.0
2015-07-26T04:34:41,30.0
2015-07-27T01:02:50,28.0
2015-07-27T01:33:48,16.0
2015-07-27T02:03:35,30.0
2015-07-27T02:32:43,30.0
2015-07-27T03:04:16,19.0
2015-07-27T03:33:52,31.0
2015-07-27T04:01:30,31.0
2015-07-27T04:32:09,28.0
2015-07-28T01:02:46,28.0
2015-07-28T01:33:20,7.0
2015-07-28T02:02:42,30.0
2015-07-28T02:33:27,21.0
2015-07-28T03:02:20,30.0
2015-07-28T03:32:44,27.0
2015-07-28T04:03:02,19.0
2015-07-28T04:31:27,6.0
2015-07-29T01:05:36,30.0
2015-07-29T02:03:05,25.0
2015-07-29T02:35:09,30.0
2015-07-29T03:32:45,30.0
2015-07-29T04:07:49,30.0
2015-07-30T01:07:07,30.0
2015-07-30T02:09:09,30.0
2015-07-30T02:34:53,19.0
2015-07-30T03:33:58,19.0
2015-07-30T04:05:40,28.0
2015-07-31T01:09:57,29.0
2015-07-31T02:08:17,20.0
2015-07-31T02:37:56,30.0
2015-07-31T03:03:48,28.0
2015-07-31T03:34:16,29.0
2015-07-31T04:06:40,26.0
2015-07-31T04:34:27,29.0
2015-08-01T02:07:28,21.0
2015-08-01T03:33:41,30.0
2015-08-01T05:01:30,30.0
2015-08-02T01:06:33,13.0
2015-08-02T02:08:52,20.0
2015-08-02T02:36:13,31.0
2015-08-02T03:33:39,11.0
2015-08-02T04:05:55,31.0
2015-08-03T02:03:08,23.0
2015-08-03T03:02:33,14.0
2015-08-03T03:32:34,30.0
2015-08-03T04:32:33,6.0
2015-08-04T01:05:18,30.0
2015-08-04T02:40:42,30.0
2015-08-04T04:04:20,11.0
2015-08-05T01:40:20,18.0
2015-08-05T03:07:29,38.0
2015-08-05T04:36:22,27.0
2015-08-07T01:07:03,23.0
2015-08-07T01:38:26,20.0
2015-08-07T02:02:31,21.0
2015-08-07T02:36:43,30.0
2015-08-07T03:10:58,27.0
2015-08-07T03:33:19,30.0
2015-08-07T04:01:11,25.0
2015-08-07T04:33:19,13.0
2015-08-08T02:39:23,31.0
2015-08-08T04:03:27,28.0
2015-08-08T05:00:53,30.0
2015-08-09T01:07:21,31.0
2015-08-09T02:03:59,30.0
