Time,TT
2015-07-01T02:00:04,36.0
2015-07-01T04:03:31,38.0
2015-07-02T01:33:44,133.0
2015-07-02T02:00:22,39.0
2015-07-02T02:32:39,48.0
2015-07-02T03:32:30,60.0
2015-07-02T04:00:24,33.0
2015-07-02T04:31:17,36.0
2015-07-03T01:07:01,120.0
2015-07-03T03:04:24,68.0
2015-07-04T01:33:26,45.0
2015-07-04T02:01:27,30.0
2015-07-04T02:33:27,49.0
2015-07-04T03:30:58,45.0
2015-07-04T04:01:16,38.0
2015-07-04T04:32:30,30.0
2015-07-04T05:16:01,91.0
2015-07-04T06:19:36,61.0
2015-07-05T04:57:54,61.0
2015-07-05T06:20:27,37.0
2015-07-05T06:58:00,59.0
2015-07-05T07:37:57,50.0
2015-07-06T01:02:13,90.0
2015-07-06T01:33:39,50.0
2015-07-06T02:00:05,52.0
2015-07-06T02:32:42,60.0
2015-07-06T02:58:41,52.0
2015-07-06T03:31:51,44.0
2015-07-06T04:00:33,73.0
2015-07-06T04:32:37,53.0
2015-07-07T01:01:59,64.0
2015-07-07T02:00:05,36.0
2015-07-07T02:32:34,30.0
2015-07-07T03:03:44,35.0
2015-07-07T04:00:21,47.0
2015-07-07T04:31:50,55.0
2015-07-08T01:03:03,51.0
2015-07-08T02:01:45,90.0
2015-07-08T02:31:12,31.0
2015-07-08T03:02:05,60.0
2015-07-08T04:02:59,39.0
2015-07-08T04:32:06,46.0
2015-07-09T01:00:10,73.0
2015-07-09T02:32:22,44.0
2015-07-09T03:01:14,60.0
2015-07-09T04:34:40,45.0
2015-07-10T01:32:37,54.0
2015-07-10T02:01:42,35.0
2015-07-10T02:32:15,30.0
2015-07-10T03:32:28,44.0
2015-07-10T04:01:30,39.0
2015-07-10T04:32:42,33.0
2015-07-11T03:02:24,91.0
2015-07-12T06:21:40,111.0
2015-07-13T01:00:38,62.0
2015-07-13T03:02:02,36.0
2015-07-14T01:03:48,76.0
2015-07-14T01:59:35,56.0
2015-07-14T02:32:59,57.0
2015-07-14T03:02:44,60.0
2015-07-14T03:35:16,96.0
2015-07-14T04:00:38,60.0
2015-07-14T04:32:42,47.0
2015-07-15T02:30:55,50.0
2015-07-15T03:31:33,37.0
2015-07-15T04:32:39,46.0
2015-07-16T01:00:47,90.0
2015-07-16T02:01:39,40.0
2015-07-16T02:33:55,50.0
2015-07-16T03:01:19,58.0
2015-07-16T04:02:46,30.0
2015-07-16T04:32:57,60.0
2015-07-17T01:02:04,68.0
2015-07-17T01:32:37,90.0
2015-07-17T02:00:38,30.0
2015-07-17T03:00:58,22.0
2015-07-17T03:32:35,60.0
2015-07-17T04:02:45,57.0
2015-07-18T01:40:19,85.0
2015-07-18T02:00:54,38.0
2015-07-18T02:35:59,31.0
2015-07-18T03:34:52,47.0
2015-07-18T04:01:54,40.0
2015-07-18T04:33:32,34.0
2015-07-19T01:01:32,160.0
2015-07-19T02:00:50,30.0
2015-07-19T03:02:20,95.0
2015-07-19T03:32:34,91.0
2015-07-19T04:00:21,30.0
2015-07-19T06:22:20,137.0
2015-07-20T01:01:12,80.0
2015-07-20T02:00:32,56.0
2015-07-20T02:33:09,82.0
2015-07-20T03:03:27,84.0
2015-07-20T03:30:16,56.0
2015-07-20T04:02:19,111.0
2015-07-20T04:33:10,47.0
2015-07-21T02:00:28,93.0
2015-07-21T03:34:09,60.0
2015-07-21T03:58:19,48.0
2015-07-22T01:31:29,72.0
2015-07-22T02:03:08,59.0
2015-07-22T02:31:48,41.0
2015-07-22T03:32:48,30.0
2015-07-22T04:01:45,37.0
2015-07-22T04:34:35,41.0
2015-07-23T02:00:51,30.0
2015-07-23T02:33:56,60.0
2015-07-23T03:00:58,74.0
2015-07-23T03:33:54,97.0
2015-07-23T04:01:08,43.0
2015-07-23T04:32:21,33.0
2015-07-24T01:59:40,40.0
2015-07-24T03:01:12,90.0
2015-07-24T03:30:26,50.0
2015-07-24T04:01:23,60.0
2015-07-25T01:00:54,36.0
2015-07-25T03:00:54,60.0
2015-07-25T03:28:21,42.0
2015-07-25T04:01:47,32.0
