Time,TT
2015-07-01T16:37:11,47.0
2015-07-01T17:03:37,49.0
2015-07-01T17:09:34,49.0
2015-07-01T17:32:47,20.0
2015-07-01T17:58:36,30.0
2015-07-01T18:00:01,30.0
2015-07-01T18:14:16,36.0
2015-07-01T18:19:45,30.0
2015-07-01T18:24:34,71.0
2015-07-01T18:39:06,30.0
2015-07-01T18:54:21,20.0
2015-07-01T19:10:29,31.0
2015-07-01T19:19:14,17.0
2015-07-01T19:43:59,40.0
2015-07-02T17:25:14,116.0
2015-07-02T17:45:25,30.0
2015-07-02T18:45:15,39.0
2015-07-02T19:19:11,42.0
2015-07-02T19:21:09,30.0
2015-07-02T19:17:11,30.0
2015-07-03T16:34:44,30.0
2015-07-03T17:02:33,64.0
2015-07-03T17:12:05,42.0
2015-07-03T17:20:48,30.0
2015-07-03T17:54:08,60.0
2015-07-03T18:44:14,57.0
2015-07-03T18:50:39,30.0
2015-07-03T19:03:24,30.0
2015-07-03T19:22:02,30.0
2015-07-06T16:45:57,30.0
2015-07-06T17:55:32,21.0
2015-07-06T18:12:45,30.0
2015-07-06T19:00:40,30.0
2015-07-06T19:02:22,19.0
2015-07-07T16:37:29,30.0
2015-07-07T17:01:56,21.0
2015-07-07T17:21:59,49.0
2015-07-07T17:26:22,49.0
2015-07-07T17:59:18,61.0
2015-07-07T18:30:41,49.0
2015-07-07T19:33:31,37.0
2015-07-08T16:59:35,69.0
2015-07-08T17:34:42,30.0
2015-07-08T17:52:23,67.0
2015-07-08T18:17:37,48.0
2015-07-08T18:51:10,23.0
2015-07-08T19:06:41,30.0
2015-07-08T19:44:33,49.0
2015-07-09T16:41:49,60.0
2015-07-09T17:26:43,80.0
2015-07-09T17:42:53,111.0
2015-07-09T17:56:26,97.0
2015-07-09T18:09:53,60.0
2015-07-09T18:13:55,33.0
2015-07-09T18:38:19,26.0
2015-07-09T18:53:03,54.0
2015-07-09T19:21:13,30.0
2015-07-10T16:55:44,30.0
2015-07-10T17:23:22,41.0
2015-07-10T17:58:06,237.0
2015-07-10T17:58:37,188.0
2015-07-10T18:07:44,174.0
2015-07-10T18:09:05,234.0
2015-07-10T18:16:13,135.0
2015-07-10T18:27:12,78.0
2015-07-10T18:29:49,153.0
2015-07-10T18:51:04,20.0
2015-07-10T19:08:10,51.0
2015-07-10T19:13:52,30.0
2015-07-10T19:42:41,62.0
2015-07-13T17:32:00,41.0
2015-07-13T17:59:24,41.0
2015-07-13T18:00:22,47.0
2015-07-13T18:16:50,20.0
2015-07-13T18:36:22,30.0
2015-07-13T18:44:25,30.0
2015-07-13T18:56:21,33.0
2015-07-13T19:00:03,31.0
2015-07-14T17:21:48,30.0
2015-07-14T17:40:14,36.0
2015-07-14T17:42:09,30.0
2015-07-14T18:27:28,46.0
2015-07-14T18:30:21,74.0
2015-07-14T19:08:21,21.0
2015-07-15T16:37:08,46.0
2015-07-15T17:32:28,59.0
2015-07-15T18:27:59,32.0
2015-07-15T18:28:35,22.0
2015-07-15T19:01:28,31.0
2015-07-16T17:31:21,47.0
2015-07-16T17:38:39,81.0
2015-07-16T17:58:45,61.0
2015-07-16T18:14:23,72.0
2015-07-16T18:29:45,68.0
2015-07-17T16:33:44,42.0
2015-07-17T17:50:35,388.0
2015-07-17T18:29:04,369.0
2015-07-17T18:47:24,155.0
2015-07-17T19:14:41,145.0
2015-07-17T19:16:19,61.0
2015-07-17T19:22:48,117.0
2015-07-20T16:31:38,30.0
2015-07-20T17:34:06,30.0
2015-07-20T17:56:36,60.0
2015-07-20T18:11:16,30.0
2015-07-20T18:44:44,30.0
2015-07-20T19:00:24,64.0
2015-07-20T19:01:52,30.0
2015-07-20T19:18:44,87.0
2015-07-21T17:26:55,36.0
2015-07-21T17:59:48,30.0
2015-07-21T18:26:12,21.0
2015-07-22T17:01:08,74.0
2015-07-22T16:59:03,30.0
2015-07-22T17:23:46,30.0
2015-07-22T17:24:44,52.0
2015-07-22T17:26:18,52.0
2015-07-22T18:13:29,30.0
2015-07-22T18:17:56,30.0
2015-07-22T18:28:18,30.0
2015-07-22T18:53:46,30.0
2015-07-22T19:33:20,30.0
2015-07-22T19:42:40,20.0
2015-07-23T16:53:43,35.0
2015-07-23T16:51:14,28.0
2015-07-23T17:11:52,38.0
2015-07-23T17:29:18,30.0
2015-07-23T19:20:15,54.0
2015-07-23T19:34:12,30.0
2015-07-24T17:30:24,56.0
2015-07-24T17:59:19,214.0
2015-07-24T18:03:21,226.0
2015-07-24T18:05:28,124.0
2015-07-24T18:34:55,30.0
2015-07-24T19:05:57,30.0
2015-07-27T16:39:10,30.0
2015-07-27T16:49:15,35.0
2015-07-27T17:08:53,45.0
2015-07-27T17:26:15,61.0
2015-07-27T17:39:08,30.0
2015-07-27T18:00:34,26.0
2015-07-27T18:01:00,46.0
2015-07-27T19:00:50,59.0
2015-07-27T19:08:30,46.0
2015-07-27T19:28:02,40.0
2015-07-28T16:53:03,33.0
2015-07-28T16:59:12,30.0
2015-07-28T17:20:09,74.0
2015-07-28T17:25:36,43.0
2015-07-28T17:54:03,30.0
2015-07-28T17:52:57,30.0
2015-07-28T18:11:37,30.0
2015-07-28T18:25:17,33.0
2015-07-28T18:49:55,20.0
2015-07-28T18:57:09,30.0
2015-07-28T19:17:44,34.0
2015-07-28T19:53:00,18.0
2015-07-29T16:49:14,45.0
2015-07-29T17:37:37,20.0
2015-07-29T18:02:17,38.0
2015-07-29T18:31:23,30.0
2015-07-29T18:54:58,30.0
2015-07-29T19:12:41,73.0
2015-07-30T16:42:26,30.0
2015-07-30T17:25:52,33.0
2015-07-30T17:38:44,70.0
2015-07-30T18:57:13,28.0
2015-07-30T19:30:31,30.0
2015-07-31T17:15:25,30.0
2015-07-31T17:42:41,33.0
2015-07-31T17:57:39,65.0
2015-07-31T18:37:51,20.0
2015-07-31T19:10:45,30.0
2015-07-31T19:05:53,31.0
2015-08-03T16:39:33,30.0
2015-08-03T16:56:47,36.0
2015-08-03T17:15:15,30.0
2015-08-03T17:16:06,45.0
2015-08-03T17:57:08,23.0
2015-08-03T18:05:08,22.0
2015-08-03T19:35:13,29.0
2015-08-04T16:34:32,34.0
2015-08-04T17:21:52,30.0
2015-08-04T17:51:23,20.0
2015-08-04T19:00:29,30.0
2015-08-04T19:10:07,19.0
2015-08-04T19:27:58,30.0
2015-08-05T17:17:37,30.0
2015-08-05T17:24:25,30.0
2015-08-05T17:32:10,30.0
2015-08-05T18:19:29,20.0
2015-08-05T18:46:17,24.0
2015-08-05T19:08:55,32.0
2015-08-05T19:11:45,18.0
2015-08-06T16:40:16,21.0
2015-08-06T18:19:19,59.0
2015-08-06T18:34:48,30.0
2015-08-06T19:17:12,65.0
2015-08-06T19:02:16,72.0
2015-08-06T19:22:31,17.0
2015-08-07T16:47:12,51.0
2015-08-07T16:57:06,40.0
2015-08-07T17:06:33,34.0
2015-08-07T17:21:15,66.0
2015-08-07T17:47:40,33.0
2015-08-07T18:00:21,19.0
2015-08-07T18:17:26,55.0
2015-08-07T18:25:21,30.0
2015-08-07T18:26:48,32.0
2015-08-07T18:43:47,63.0
2015-08-07T18:52:57,20.0
2015-08-07T19:04:20,16.0
2015-08-07T19:01:56,30.0
2015-08-07T19:13:10,30.0
2015-08-07T19:38:07,20.0
2015-08-10T16:36:01,39.0
2015-08-10T17:10:16,36.0
2015-08-10T18:19:18,26.0
2015-08-10T19:02:31,37.0
2015-08-10T19:30:57,30.0
2015-08-11T17:03:25,61.0
2015-08-11T17:09:12,48.0
2015-08-11T17:21:03,20.0
2015-08-11T17:39:52,78.0
2015-08-11T18:00:43,61.0
2015-08-11T18:29:25,30.0
2015-08-11T18:29:48,18.0
2015-08-11T18:55:23,19.0
2015-08-11T19:11:36,20.0
2015-08-11T19:44:15,30.0
2015-08-12T16:46:17,35.0
2015-08-12T17:11:29,42.0
2015-08-12T18:34:03,43.0
2015-08-12T18:48:58,57.0
2015-08-12T19:12:45,30.0
2015-08-12T19:13:13,30.0
2015-08-13T17:22:18,133.0
2015-08-13T17:27:52,37.0
2015-08-13T18:05:14,54.0
2015-08-13T18:13:21,101.0
2015-08-13T19:02:54,64.0
