Time,TT
2015-07-01T07:34:34,59.0
2015-07-01T07:49:45,43.0
2015-07-01T08:16:33,53.0
2015-07-01T08:30:30,51.0
2015-07-01T08:45:44,59.0
2015-07-01T08:50:08,40.0
2015-07-01T09:18:49,29.0
2015-07-01T09:45:01,46.0
2015-07-02T07:32:26,41.0
2015-07-02T07:38:31,19.0
2015-07-02T07:59:00,51.0
2015-07-02T08:01:35,34.0
2015-07-02T08:18:01,46.0
2015-07-02T09:50:14,14.0
2015-07-02T09:31:14,61.0
2015-07-03T07:53:14,51.0
2015-07-03T08:02:38,42.0
2015-07-03T08:35:16,32.0
2015-07-03T09:00:48,39.0
2015-07-03T09:06:59,56.0
2015-07-06T07:11:08,51.0
2015-07-06T08:06:05,43.0
2015-07-06T08:13:17,39.0
2015-07-07T06:43:03,27.0
2015-07-07T08:37:35,56.0
2015-07-07T08:59:51,45.0
2015-07-07T09:13:46,48.0
2015-07-08T06:58:20,37.0
2015-07-08T09:35:05,40.0
2015-07-09T07:38:14,50.0
2015-07-09T08:32:56,46.0
2015-07-09T09:25:33,51.0
2015-07-09T09:33:43,38.0
2015-07-09T09:42:41,41.0
2015-07-10T06:57:12,27.0
2015-07-10T07:03:11,32.0
2015-07-10T07:10:23,28.0
2015-07-10T07:33:21,39.0
2015-07-10T07:37:00,39.0
2015-07-10T07:48:36,57.0
2015-07-10T08:05:05,51.0
2015-07-10T08:20:15,53.0
2015-07-10T08:23:46,65.0
2015-07-10T08:46:01,39.0
2015-07-10T08:52:36,32.0
2015-07-10T09:25:19,38.0
2015-07-10T09:37:59,47.0
2015-07-10T09:42:59,44.0
2015-07-13T07:59:00,49.0
2015-07-13T09:23:04,60.0
2015-07-13T09:38:46,18.0
2015-07-14T07:33:29,57.0
2015-07-14T07:38:13,40.0
2015-07-14T09:19:46,31.0
2015-07-14T09:37:07,48.0
2015-07-15T07:10:05,30.0
2015-07-15T08:24:54,59.0
2015-07-15T08:29:59,32.0
2015-07-16T08:23:40,43.0
2015-07-16T09:20:29,32.0
2015-07-17T07:15:45,32.0
2015-07-17T07:58:58,23.0
2015-07-17T08:24:55,50.0
2015-07-17T08:30:42,45.0
2015-07-17T09:20:37,45.0
2015-07-20T07:59:14,37.0
2015-07-20T08:24:50,42.0
2015-07-20T08:30:31,42.0
2015-07-20T09:24:17,46.0
2015-07-21T07:39:28,50.0
2015-07-21T08:03:52,43.0
2015-07-21T09:28:53,51.0
2015-07-22T06:35:53,27.0
2015-07-22T06:44:19,52.0
2015-07-22T07:09:52,41.0
2015-07-22T07:32:22,51.0
2015-07-22T07:51:13,23.0
2015-07-22T08:15:25,43.0
2015-07-22T08:48:12,45.0
2015-07-22T08:50:05,30.0
2015-07-22T09:07:45,44.0
2015-07-22T09:14:52,27.0
2015-07-22T09:41:46,45.0
2015-07-23T06:46:45,53.0
2015-07-23T08:11:08,19.0
2015-07-23T08:37:40,56.0
2015-07-23T09:03:05,38.0
2015-07-23T09:14:07,16.0
2015-07-24T06:58:53,18.0
2015-07-24T09:20:46,47.0
2015-07-24T09:38:29,63.0
2015-07-27T06:44:25,62.0
2015-07-27T08:11:05,20.0
2015-07-27T08:37:46,33.0
2015-07-27T08:45:46,40.0
2015-07-27T08:58:34,43.0
2015-07-27T09:16:06,51.0
2015-07-27T09:27:38,34.0
2015-07-27T09:43:19,15.0
2015-07-28T06:44:09,53.0
2015-07-28T07:33:11,34.0
2015-07-28T07:50:46,42.0
2015-07-28T08:15:35,30.0
2015-07-28T08:23:28,40.0
2015-07-28T08:53:58,53.0
2015-07-28T09:19:37,56.0
2015-07-28T09:30:36,18.0
2015-07-28T09:43:03,52.0
2015-07-29T07:38:15,54.0
2015-07-29T08:02:36,31.0
2015-07-29T09:25:20,43.0
