Time,TT
2015-07-01T00:52:10,34.0
2015-07-01T02:52:09,30.0
2015-07-01T04:52:32,38.0
2015-07-02T01:23:37,22.0
2015-07-02T02:24:58,30.0
2015-07-02T02:51:55,30.0
2015-07-02T03:22:00,28.0
2015-07-02T04:22:42,40.0
2015-07-02T04:54:12,38.0
2015-07-03T02:02:29,41.0
2015-07-03T03:59:29,44.0
2015-07-04T00:51:55,30.0
2015-07-04T01:28:03,26.0
2015-07-04T02:18:43,32.0
2015-07-04T02:51:06,60.0
2015-07-04T03:23:47,60.0
2015-07-04T04:13:21,45.0
2015-07-04T04:53:42,23.0
2015-07-04T05:25:02,37.0
2015-07-04T07:15:59,35.0
2015-07-05T05:23:38,27.0
2015-07-05T06:01:05,60.0
2015-07-05T06:39:02,41.0
2015-07-05T07:15:53,43.0
2015-07-06T01:52:47,42.0
2015-07-06T02:22:42,30.0
2015-07-06T02:52:39,32.0
2015-07-06T03:21:14,43.0
2015-07-06T03:51:41,48.0
2015-07-06T04:23:20,79.0
2015-07-06T04:51:17,41.0
2015-07-07T01:52:04,36.0
2015-07-07T02:51:20,60.0
2015-07-07T03:22:32,50.0
2015-07-07T03:52:57,51.0
2015-07-07T04:52:31,40.0
2015-07-08T01:23:31,38.0
2015-07-08T01:51:55,27.0
2015-07-08T02:50:46,33.0
2015-07-08T03:24:49,50.0
2015-07-08T03:51:13,34.0
2015-07-08T04:52:25,42.0
2015-07-09T01:23:39,30.0
2015-07-09T01:51:55,26.0
2015-07-09T03:19:42,44.0
2015-07-09T03:52:07,22.0
2015-07-10T00:53:10,50.0
2015-07-10T01:22:25,28.0
2015-07-10T02:23:05,35.0
2015-07-10T02:50:09,30.0
2015-07-10T03:23:50,30.0
2015-07-10T04:22:11,31.0
2015-07-10T04:51:37,38.0
2015-07-11T03:52:07,36.0
2015-07-12T05:25:52,30.0
2015-07-12T07:16:26,36.0
2015-07-13T01:52:37,60.0
2015-07-13T03:51:55,35.0
2015-07-14T01:50:38,21.0
2015-07-14T02:24:05,31.0
2015-07-14T02:51:13,30.0
2015-07-14T03:20:55,34.0
2015-07-14T03:54:02,50.0
2015-07-14T04:21:36,28.0
2015-07-14T04:50:47,39.0
2015-07-15T01:23:48,22.0
2015-07-15T02:21:09,39.0
2015-07-15T03:21:38,40.0
2015-07-15T04:21:18,22.0
2015-07-16T00:51:44,30.0
2015-07-16T01:24:50,38.0
2015-07-16T01:51:43,51.0
2015-07-16T02:54:27,27.0
2015-07-16T03:24:24,35.0
2015-07-16T03:52:11,29.0
2015-07-16T04:53:52,40.0
2015-07-17T00:51:13,26.0
2015-07-17T01:51:49,30.0
2015-07-17T02:23:25,39.0
2015-07-17T02:51:29,46.0
2015-07-17T03:51:58,50.0
2015-07-17T04:22:07,60.0
2015-07-17T04:53:39,38.0
2015-07-18T00:51:05,26.0
2015-07-18T01:25:27,50.0
2015-07-18T02:41:26,62.0
2015-07-18T02:51:53,47.0
2015-07-18T03:24:54,19.0
2015-07-18T04:26:19,35.0
2015-07-18T04:51:25,30.0
2015-07-18T05:22:32,43.0
2015-07-19T00:51:59,30.0
2015-07-19T01:50:50,29.0
2015-07-19T02:55:30,35.0
2015-07-19T03:53:02,51.0
2015-07-19T04:21:09,40.0
2015-07-19T04:51:36,29.0
2015-07-19T05:22:12,39.0
2015-07-19T07:16:02,36.0
2015-07-20T01:20:20,28.0
2015-07-20T01:51:39,30.0
2015-07-20T02:26:24,34.0
2015-07-20T02:56:33,38.0
2015-07-20T03:22:05,37.0
2015-07-20T03:51:52,38.0
2015-07-20T04:25:18,30.0
2015-07-20T04:51:06,40.0
2015-07-21T00:52:05,49.0
2015-07-21T02:21:42,48.0
2015-07-21T02:53:46,30.0
2015-07-21T04:25:43,36.0
2015-07-21T04:50:51,41.0
2015-07-22T00:50:42,30.0
2015-07-22T01:21:44,30.0
2015-07-22T02:21:41,30.0
2015-07-22T02:52:16,60.0
2015-07-22T03:21:58,28.0
2015-07-22T04:21:20,39.0
2015-07-22T04:52:07,37.0
2015-07-23T00:51:06,30.0
2015-07-23T02:25:14,28.0
2015-07-23T02:52:18,60.0
2015-07-23T03:27:06,37.0
2015-07-23T03:51:40,50.0
2015-07-23T04:22:18,61.0
2015-07-23T04:51:44,37.0
2015-07-24T00:52:30,32.0
2015-07-24T02:23:10,30.0
2015-07-24T02:52:10,36.0
2015-07-24T03:52:52,52.0
2015-07-24T04:22:29,41.0
2015-07-24T04:51:42,40.0
2015-07-25T01:52:03,35.0
2015-07-25T02:26:15,60.0
2015-07-25T02:56:11,40.0
2015-07-25T03:26:02,21.0
2015-07-25T03:52:54,60.0
2015-07-25T04:22:07,26.0
2015-07-25T04:52:12,30.0
2015-07-26T00:51:44,32.0
2015-07-26T01:23:32,60.0
2015-07-26T01:51:49,39.0
2015-07-26T02:23:04,23.0
2015-07-26T03:26:08,30.0
2015-07-26T03:52:06,29.0
2015-07-26T04:22:20,41.0
2015-07-26T05:22:40,61.0
2015-07-26T06:02:22,39.0
2015-07-27T01:52:27,30.0
2015-07-27T02:20:57,30.0
2015-07-27T02:53:49,43.0
2015-07-27T03:52:37,29.0
2015-07-27T04:22:16,65.0
2015-07-27T04:52:12,40.0
2015-07-28T00:52:03,30.0
2015-07-28T01:51:36,31.0
2015-07-28T02:21:15,22.0
2015-07-28T02:52:25,26.0
2015-07-28T03:21:39,60.0
2015-07-28T03:51:00,36.0
2015-07-28T04:21:14,28.0
2015-07-28T04:50:34,42.0
2015-07-29T00:50:59,29.0
2015-07-29T02:20:59,36.0
2015-07-29T02:52:07,60.0
2015-07-29T03:23:33,30.0
2015-07-29T03:52:04,27.0
2015-07-29T04:22:32,39.0
2015-07-29T04:53:31,39.0
2015-07-30T00:51:20,27.0
2015-07-30T01:25:20,30.0
2015-07-30T01:51:41,29.0
2015-07-30T02:21:33,33.0
2015-07-30T02:51:16,60.0
2015-07-30T03:22:27,46.0
2015-07-30T03:52:28,34.0
2015-07-30T04:21:01,32.0
2015-07-30T04:53:25,39.0
2015-07-31T00:52:04,30.0
2015-07-31T01:26:00,30.0
2015-07-31T01:51:57,30.0
2015-07-31T02:50:44,30.0
2015-07-31T03:22:53,31.0
2015-07-31T03:52:11,25.0
2015-07-31T04:52:55,39.0
2015-08-01T00:54:01,38.0
2015-08-01T02:33:04,31.0
2015-08-01T02:52:01,48.0
2015-08-01T03:21:42,30.0
2015-08-01T04:22:11,45.0
2015-08-01T04:51:40,36.0
2015-08-01T05:22:13,39.0
2015-08-02T00:52:03,37.0
2015-08-02T01:23:56,36.0
2015-08-02T01:52:37,52.0
2015-08-02T02:22:36,35.0
2015-08-02T02:54:22,48.0
2015-08-02T03:27:43,40.0
2015-08-02T03:52:39,28.0
2015-08-02T04:20:57,30.0
2015-08-02T04:51:48,34.0
2015-08-02T06:00:10,39.0
2015-08-03T00:53:09,30.0
2015-08-03T01:20:34,32.0
2015-08-03T01:51:56,30.0
2015-08-03T02:52:27,38.0
2015-08-03T03:21:35,39.0
2015-08-03T03:53:02,30.0
2015-08-03T04:51:11,37.0
2015-08-04T01:53:23,35.0
2015-08-04T02:21:48,30.0
2015-08-04T03:21:29,42.0
2015-08-04T03:51:49,51.0
2015-08-04T04:21:59,30.0
2015-08-05T00:51:23,30.0
2015-08-05T01:52:32,60.0
2015-08-05T02:21:19,45.0
2015-08-05T02:51:57,60.0
2015-08-05T03:52:03,21.0
2015-08-05T04:23:12,49.0
2015-08-05T04:51:56,42.0
2015-08-07T00:51:07,24.0
2015-08-07T01:24:12,30.0
2015-08-07T01:51:36,35.0
2015-08-07T02:51:39,30.0
2015-08-07T03:28:02,30.0
2015-08-07T03:53:00,61.0
2015-08-07T04:53:22,40.0
2015-08-08T00:53:12,60.0
2015-08-08T01:23:47,28.0
2015-08-08T01:51:46,22.0
2015-08-08T02:27:14,37.0
2015-08-08T02:52:12,30.0
2015-08-08T03:22:12,34.0
2015-08-08T04:22:06,63.0
2015-08-08T04:53:44,30.0
2015-08-08T05:22:23,41.0
2015-08-09T00:51:04,30.0
2015-08-09T01:21:56,45.0
2015-08-09T01:53:45,30.0
2015-08-09T02:23:06,45.0
2015-08-09T02:55:46,30.0
2015-08-09T03:24:58,46.0
2015-08-09T03:52:08,27.0
2015-08-09T04:21:06,60.0
2015-08-09T04:53:25,59.0
2015-08-09T05:24:13,30.0
2015-08-09T06:02:36,45.0
2015-08-09T07:15:14,28.0
2015-08-11T00:53:05,60.0
2015-08-11T01:20:16,46.0
2015-08-11T01:52:25,30.0
2015-08-11T02:22:01,47.0
2015-08-11T02:52:18,61.0
2015-08-11T03:21:41,36.0
2015-08-11T03:51:36,30.0
2015-08-11T04:22:02,30.0
2015-08-11T04:53:25,40.0
2015-08-12T01:22:44,28.0
2015-08-12T01:51:40,60.0
2015-08-12T02:22:21,30.0
2015-08-12T02:54:12,21.0
2015-08-12T03:21:20,52.0
2015-08-12T03:51:02,26.0
2015-08-12T04:21:09,24.0
2015-08-12T04:54:25,39.0
2015-08-13T01:23:55,34.0
2015-08-13T01:51:38,30.0
2015-08-13T02:26:36,18.0
2015-08-13T02:51:17,28.0
2015-08-13T03:22:29,33.0
2015-08-13T03:53:55,30.0
2015-08-13T04:21:13,35.0
2015-08-13T04:52:28,40.0
2015-08-14T01:22:42,24.0
2015-08-14T02:23:08,41.0
2015-08-14T02:53:03,61.0
2015-08-14T04:21:53,30.0
2015-08-14T04:52:04,37.0
2015-08-15T00:51:20,32.0
2015-08-15T01:22:42,20.0
2015-08-15T01:57:47,31.0
2015-08-15T02:22:02,46.0
2015-08-15T02:53:03,35.0
2015-08-15T03:22:49,29.0
2015-08-15T03:54:05,51.0
2015-08-15T04:22:50,39.0
2015-08-15T04:52:24,30.0
2015-08-15T05:22:09,41.0
2015-08-16T00:49:52,36.0
2015-08-16T01:24:33,51.0
2015-08-16T01:52:58,22.0
2015-08-16T02:23:24,29.0
2015-08-16T02:54:05,49.0
2015-08-16T03:21:27,48.0
2015-08-16T03:53:00,61.0
2015-08-16T04:21:09,42.0
2015-08-16T04:52:49,46.0
2015-08-16T05:23:43,49.0
2015-08-16T07:16:19,39.0
2015-08-17T01:51:41,50.0
2015-08-17T02:20:00,23.0
2015-08-17T02:51:54,26.0
2015-08-17T03:20:32,42.0
2015-08-17T03:53:50,30.0
2015-08-17T04:24:11,33.0
2015-08-17T04:51:15,37.0
2015-08-18T01:55:22,34.0
2015-08-18T02:50:54,31.0
2015-08-18T03:20:25,30.0
2015-08-18T03:53:00,49.0
2015-08-18T04:51:14,41.0
2015-08-19T01:53:54,51.0
2015-08-19T02:32:31,48.0
2015-08-19T02:52:08,60.0
2015-08-19T03:52:09,34.0
2015-08-19T04:26:20,40.0
2015-08-19T04:52:23,39.0
2015-08-20T00:51:48,46.0
2015-08-20T01:24:51,19.0
2015-08-20T01:52:06,28.0
2015-08-20T02:23:08,30.0
2015-08-20T02:50:50,34.0
2015-08-20T03:21:36,27.0
2015-08-20T03:52:19,29.0
