Time,TT
2015-07-01T10:15:51,30.0
2015-07-01T10:50:34,23.0
2015-07-01T11:02:56,15.0
2015-07-01T11:17:46,16.0
2015-07-01T11:38:08,29.0
2015-07-01T11:51:52,37.0
2015-07-01T12:02:42,59.0
2015-07-01T12:16:28,37.0
2015-07-01T12:37:56,20.0
2015-07-01T12:52:36,38.0
2015-07-01T13:13:06,15.0
2015-07-01T13:48:30,33.0
2015-07-01T14:02:16,22.0
2015-07-01T14:13:32,44.0
2015-07-01T14:44:42,39.0
2015-07-01T14:50:17,22.0
2015-07-01T16:40:03,24.0
2015-07-01T15:51:03,22.0
2015-07-01T15:58:14,20.0
2015-07-01T16:30:28,13.0
2015-07-01T16:43:21,25.0
2015-07-01T16:48:26,37.0
2015-07-01T17:07:46,61.0
2015-07-01T17:18:28,15.0
2015-07-01T17:52:30,26.0
2015-07-01T18:04:20,19.0
2015-07-01T18:39:26,19.0
2015-07-01T18:53:21,63.0
2015-07-01T19:22:03,38.0
2015-07-01T19:33:42,18.0
2015-07-01T19:57:21,60.0
2015-07-01T20:57:05,13.0
2015-07-01T21:26:06,12.0
2015-07-01T22:44:44,25.0
2015-07-01T23:33:44,38.0
2015-07-01T06:11:03,18.0
2015-07-01T06:22:20,16.0
2015-07-01T06:42:33,43.0
2015-07-01T06:57:21,25.0
2015-07-01T07:18:56,25.0
2015-07-01T07:53:03,25.0
2015-07-01T08:09:17,15.0
2015-07-01T08:23:12,19.0
2015-07-01T08:47:34,17.0
2015-07-01T09:05:29,15.0
2015-07-01T09:19:29,20.0
2015-07-01T09:29:03,25.0
2015-07-01T09:52:41,14.0
2015-07-02T10:17:26,11.0
2015-07-02T10:41:36,48.0
2015-07-02T11:04:14,62.0
2015-07-02T11:38:19,14.0
2015-07-02T12:04:55,28.0
2015-07-02T12:15:29,27.0
2015-07-02T12:50:51,14.0
2015-07-02T13:14:17,41.0
2015-07-02T13:28:16,24.0
2015-07-02T14:06:31,25.0
2015-07-02T14:42:46,42.0
2015-07-02T15:04:06,20.0
2015-07-02T15:23:14,17.0
2015-07-02T15:47:58,13.0
2015-07-02T16:25:34,18.0
2015-07-02T16:29:25,20.0
2015-07-02T17:01:41,15.0
2015-07-02T17:48:38,31.0
2015-07-02T18:37:28,20.0
2015-07-02T18:57:41,26.0
2015-07-02T19:25:39,21.0
2015-07-02T19:32:59,13.0
2015-07-02T21:06:54,21.0
2015-07-02T22:49:06,28.0
2015-07-02T06:40:31,30.0
2015-07-02T06:58:33,16.0
2015-07-02T07:27:49,19.0
2015-07-02T07:32:52,29.0
2015-07-02T07:42:33,20.0
2015-07-02T08:39:03,53.0
2015-07-02T09:05:48,21.0
2015-07-02T09:14:23,12.0
2015-07-02T09:54:53,18.0
2015-07-03T10:17:15,47.0
2015-07-03T10:29:07,68.0
2015-07-03T10:40:43,28.0
2015-07-03T10:51:23,14.0
2015-07-03T11:06:22,72.0
2015-07-03T12:02:56,28.0
2015-07-03T14:13:01,37.0
2015-07-03T14:12:01,57.0
2015-07-03T15:20:13,14.0
2015-07-03T16:11:26,13.0
2015-07-03T16:27:39,25.0
2015-07-03T16:29:28,46.0
2015-07-03T16:38:51,26.0
2015-07-03T16:58:06,22.0
2015-07-03T17:14:23,20.0
2015-07-03T18:13:06,30.0
2015-07-03T18:22:31,17.0
2015-07-03T18:53:45,15.0
2015-07-03T19:24:24,41.0
2015-07-03T19:32:56,15.0
2015-07-03T19:45:36,18.0
2015-07-03T19:57:44,20.0
2015-07-03T21:12:05,23.0
2015-07-03T22:07:28,37.0
2015-07-03T22:25:54,18.0
2015-07-03T06:56:36,44.0
2015-07-03T07:21:07,41.0
2015-07-03T07:31:40,39.0
2015-07-03T07:40:29,11.0
2015-07-03T07:53:08,34.0
2015-07-03T08:10:10,41.0
2015-07-03T09:07:51,16.0
2015-07-03T09:54:00,23.0
2015-07-04T10:40:43,47.0
2015-07-04T10:46:14,11.0
2015-07-04T11:00:08,14.0
2015-07-04T11:23:22,34.0
2015-07-04T11:29:42,26.0
2015-07-04T11:43:36,19.0
2015-07-04T12:28:24,28.0
2015-07-04T12:47:41,25.0
2015-07-04T12:57:12,45.0
2015-07-04T13:29:06,14.0
2015-07-04T14:00:16,11.0
2015-07-04T14:19:06,20.0
2015-07-04T14:29:59,19.0
2015-07-04T14:45:00,21.0
2015-07-04T15:30:56,25.0
2015-07-04T15:54:16,26.0
2015-07-04T16:05:58,37.0
2015-07-04T16:30:34,31.0
2015-07-04T16:59:13,18.0
2015-07-04T17:16:24,37.0
2015-07-04T17:32:13,41.0
2015-07-04T17:43:17,15.0
2015-07-04T18:29:19,12.0
2015-07-04T18:46:13,14.0
2015-07-04T18:57:49,19.0
2015-07-04T19:27:32,41.0
2015-07-04T19:59:35,17.0
2015-07-04T20:13:25,36.0
