Time,TT
2015-07-01T10:46:44,90.0
2015-07-01T11:33:28,91.0
2015-07-01T11:41:39,83.0
2015-07-01T12:43:22,88.0
2015-07-01T13:26:44,93.0
2015-07-01T13:33:49,109.0
2015-07-01T14:32:15,131.0
2015-07-01T15:17:42,98.0
2015-07-01T15:25:02,86.0
2015-07-01T16:29:43,106.0
2015-07-01T16:33:45,110.0
2015-07-01T16:56:57,94.0
2015-07-01T17:17:09,93.0
2015-07-01T17:20:52,106.0
2015-07-01T18:28:05,103.0
2015-07-01T18:33:38,90.0
2015-07-01T18:53:00,94.0
2015-07-01T19:11:24,89.0
2015-07-01T07:50:33,102.0
2015-07-01T07:59:41,92.0
2015-07-01T08:23:32,92.0
2015-07-01T08:53:44,98.0
2015-07-01T09:21:58,84.0
2015-07-01T09:37:16,85.0
2015-07-01T09:47:34,95.0
2015-07-01T10:08:22,84.0
2015-07-02T11:14:39,100.0
2015-07-02T11:23:24,79.0
2015-07-02T12:00:18,92.0
2015-07-02T13:09:40,100.0
2015-07-02T13:13:13,82.0
2015-07-02T13:54:36,100.0
2015-07-02T15:04:16,125.0
2015-07-02T15:09:33,90.0
2015-07-02T15:52:01,113.0
2015-07-02T17:00:48,95.0
2015-07-02T17:04:07,99.0
2015-07-02T17:51:31,92.0
2015-07-02T18:58:58,107.0
2015-07-02T19:02:24,94.0
2015-07-02T07:37:24,88.0
2015-07-02T07:43:03,76.0
2015-07-02T08:19:18,77.0
2015-07-02T08:33:46,88.0
2015-07-02T09:26:33,88.0
2015-07-02T09:28:59,60.0
2015-07-02T09:36:37,96.0
2015-07-02T09:59:59,125.0
2015-07-02T10:11:17,88.0
2015-07-03T10:36:34,105.0
2015-07-03T11:23:49,111.0
2015-07-03T12:31:35,104.0
2015-07-03T13:15:08,119.0
2015-07-03T14:26:28,90.0
2015-07-03T15:09:57,90.0
2015-07-03T16:20:59,95.0
2015-07-03T16:32:32,90.0
2015-07-03T17:10:47,94.0
2015-07-03T18:17:13,60.0
2015-07-03T18:32:03,126.0
2015-07-03T19:10:20,89.0
2015-07-03T07:42:49,102.0
2015-07-03T08:46:10,97.0
2015-07-03T08:50:18,80.0
2015-07-03T08:58:28,108.0
2015-07-03T09:26:57,117.0
2015-07-06T10:53:10,94.0
2015-07-06T11:47:23,82.0
2015-07-06T11:53:40,90.0
2015-07-06T12:44:21,86.0
2015-07-06T13:37:33,94.0
2015-07-06T13:45:26,82.0
2015-07-06T14:42:32,90.0
2015-07-06T15:31:27,84.0
2015-07-06T15:42:03,91.0
2015-07-06T16:33:00,101.0
2015-07-06T17:08:40,94.0
2015-07-06T17:25:02,100.0
2015-07-06T17:34:23,124.0
2015-07-06T17:38:29,122.0
2015-07-06T17:49:18,86.0
2015-07-06T18:18:42,87.0
2015-07-06T18:33:13,60.0
2015-07-06T18:38:06,116.0
2015-07-06T19:22:20,87.0
2015-07-06T19:28:40,100.0
2015-07-06T08:04:54,113.0
2015-07-06T08:13:37,129.0
2015-07-06T08:34:29,89.0
2015-07-06T08:50:42,99.0
2015-07-06T08:58:28,124.0
2015-07-06T09:01:48,111.0
2015-07-06T09:13:42,102.0
2015-07-06T09:35:07,118.0
2015-07-06T09:47:09,92.0
2015-07-06T09:55:14,92.0
2015-07-06T10:15:17,109.0
2015-07-07T10:36:24,132.0
2015-07-07T10:59:32,87.0
2015-07-07T11:22:52,102.0
2015-07-07T12:00:41,108.0
2015-07-07T12:30:40,93.0
2015-07-07T12:52:32,81.0
2015-07-07T13:14:50,118.0
2015-07-07T13:54:45,111.0
2015-07-07T14:24:37,97.0
2015-07-07T14:46:23,90.0
2015-07-07T15:09:46,90.0
2015-07-07T15:45:34,129.0
2015-07-07T16:20:58,87.0
2015-07-07T16:43:45,99.0
2015-07-07T17:06:44,113.0
2015-07-07T17:47:55,101.0
2015-07-07T18:17:00,104.0
2015-07-07T18:19:27,136.0
2015-07-07T18:41:27,90.0
2015-07-07T19:05:35,90.0
2015-07-07T07:43:22,88.0
2015-07-07T08:19:15,115.0
2015-07-07T08:49:26,86.0
2015-07-07T09:10:34,92.0
2015-07-07T09:28:26,90.0
2015-07-07T09:36:36,83.0
2015-07-07T09:59:36,98.0
2015-07-08T10:45:50,112.0
2015-07-08T11:43:18,88.0
2015-07-08T12:44:36,120.0
2015-07-08T13:38:15,131.0
2015-07-08T14:30:16,141.0
2015-07-08T15:26:30,100.0
2015-07-08T16:30:34,141.0
2015-07-08T16:34:52,101.0
2015-07-08T16:57:55,110.0
2015-07-08T17:24:24,105.0
2015-07-08T18:27:12,85.0
2015-07-08T18:31:27,90.0
2015-07-08T18:52:50,110.0
2015-07-08T07:58:26,87.0
2015-07-08T08:55:37,91.0
2015-07-08T09:39:45,102.0
2015-07-08T09:50:22,88.0
2015-07-09T10:31:26,118.0
2015-07-09T11:13:27,83.0
2015-07-09T11:16:51,100.0
2015-07-09T12:07:53,110.0
2015-07-09T13:06:28,85.0
2015-07-09T13:08:14,83.0
2015-07-09T14:05:24,85.0
2015-07-09T14:16:29,88.0
2015-07-09T14:57:27,201.0
2015-07-09T15:01:32,95.0
2015-07-09T15:53:55,85.0
2015-07-09T16:12:41,86.0
2015-07-09T16:50:37,94.0
2015-07-09T17:08:03,113.0
2015-07-09T18:04:41,118.0
2015-07-09T18:12:50,100.0
2015-07-09T18:53:42,104.0
2015-07-09T18:58:40,100.0
2015-07-09T07:28:45,98.0
2015-07-09T07:34:13,113.0
2015-07-09T08:25:41,92.0
2015-07-09T08:32:24,83.0
2015-07-09T08:45:34,81.0
2015-07-09T08:52:30,92.0
2015-07-09T09:16:27,90.0
2015-07-09T09:22:24,90.0
2015-07-09T09:54:54,103.0
2015-07-09T10:07:44,108.0
2015-07-09T10:15:07,90.0
2015-07-10T11:31:27,109.0
2015-07-10T13:26:30,91.0
2015-07-10T15:15:55,103.0
2015-07-10T17:20:41,145.0
2015-07-10T19:19:23,78.0
2015-07-10T07:52:48,87.0
2015-07-10T09:20:26,87.0
2015-07-10T09:57:59,115.0
2015-07-13T10:47:13,76.0
2015-07-13T11:41:49,81.0
2015-07-13T12:43:47,114.0
2015-07-13T13:33:35,90.0
2015-07-13T14:32:30,119.0
2015-07-13T15:23:29,92.0
2015-07-13T16:30:35,90.0
2015-07-13T16:33:51,93.0
2015-07-13T16:57:04,91.0
2015-07-13T17:17:28,82.0
2015-07-13T18:29:02,118.0
2015-07-13T18:39:02,106.0
2015-07-13T18:49:49,101.0
2015-07-13T07:55:33,75.0
2015-07-13T08:23:41,105.0
2015-07-13T08:53:31,98.0
2015-07-13T09:37:31,95.0
2015-07-13T09:43:44,104.0
2015-07-13T10:03:43,110.0
2015-07-14T11:10:51,80.0
2015-07-14T11:17:56,89.0
2015-07-14T12:59:57,108.0
2015-07-14T13:11:34,87.0
2015-07-14T14:52:14,85.0
2015-07-14T15:02:39,90.0
2015-07-14T16:59:55,97.0
2015-07-14T17:02:52,92.0
2015-07-14T17:37:29,106.0
2015-07-14T17:59:41,91.0
2015-07-14T18:56:08,107.0
2015-07-14T19:02:22,145.0
2015-07-14T07:28:21,82.0
2015-07-14T07:35:37,93.0
2015-07-14T08:25:50,104.0
2015-07-14T08:31:39,80.0
2015-07-14T09:17:22,85.0
2015-07-14T09:23:35,92.0
2015-07-14T09:44:55,230.0
2015-07-14T09:52:29,92.0
2015-07-14T10:08:36,106.0
2015-07-14T10:16:49,92.0
2015-07-15T10:45:36,101.0
2015-07-15T10:52:07,88.0
2015-07-15T11:41:34,88.0
2015-07-15T11:52:43,93.0
2015-07-15T12:19:47,98.0
2015-07-15T12:39:44,90.0
2015-07-15T12:43:38,95.0
2015-07-15T13:31:15,81.0
2015-07-15T13:45:08,101.0
2015-07-15T14:06:29,97.0
2015-07-15T14:34:32,100.0
2015-07-15T14:40:45,105.0
2015-07-15T15:25:09,113.0
2015-07-15T15:37:36,90.0
2015-07-15T16:02:55,92.0
2015-07-15T16:36:31,92.0
2015-07-15T16:35:11,101.0
2015-07-15T16:37:42,93.0
2015-07-15T16:57:26,113.0
2015-07-15T17:29:51,78.0
2015-07-15T17:42:14,96.0
2015-07-15T18:02:37,79.0
2015-07-15T18:30:04,152.0
2015-07-15T18:30:37,97.0
2015-07-15T18:46:47,89.0
2015-07-15T18:56:06,103.0
2015-07-15T19:28:29,93.0
2015-07-15T08:11:41,95.0
2015-07-15T08:40:49,102.0
2015-07-15T08:58:56,100.0
2015-07-15T09:23:31,89.0
2015-07-15T09:01:14,82.0
2015-07-15T10:00:32,111.0
2015-07-15T09:58:24,88.0
2015-07-15T10:25:41,106.0
2015-07-16T11:26:37,86.0
2015-07-16T12:02:09,139.0
2015-07-16T12:01:35,123.0
2015-07-16T13:17:22,87.0
2015-07-16T13:31:27,96.0
2015-07-16T13:52:35,105.0
2015-07-16T15:10:20,88.0
2015-07-16T15:25:38,96.0
2015-07-16T15:45:52,93.0
2015-07-16T17:16:03,88.0
2015-07-16T17:27:04,99.0
2015-07-16T17:51:05,97.0
2015-07-16T19:47:24,87.0
2015-07-16T07:42:33,90.0
2015-07-16T07:59:13,83.0
2015-07-16T08:22:37,97.0
2015-07-16T09:32:25,104.0
2015-07-16T09:37:14,112.0
2015-07-16T09:39:45,126.0
2015-07-16T09:46:34,96.0
2015-07-16T10:00:35,120.0
2015-07-17T10:35:27,89.0
2015-07-17T11:04:19,85.0
2015-07-17T11:33:37,85.0
2015-07-17T12:31:10,90.0
2015-07-17T12:55:30,94.0
2015-07-17T13:27:18,85.0
2015-07-17T14:25:54,107.0
2015-07-17T14:51:40,94.0
2015-07-17T15:16:52,111.0
2015-07-17T16:20:58,95.0
2015-07-17T16:46:17,111.0
2015-07-17T17:20:55,112.0
2015-07-17T17:51:04,97.0
2015-07-17T18:32:18,124.0
2015-07-17T18:49:12,81.0
2015-07-17T19:11:27,95.0
2015-07-17T07:51:28,88.0
2015-07-17T08:49:21,88.0
2015-07-17T09:10:43,100.0
2015-07-17T09:20:17,132.0
2015-07-17T09:35:47,100.0
2015-07-17T09:38:42,99.0
2015-07-20T10:43:57,122.0
2015-07-20T11:45:21,76.0
2015-07-20T12:44:11,78.0
2015-07-20T13:36:39,90.0
2015-07-20T14:34:28,97.0
2015-07-20T15:22:30,89.0
2015-07-20T17:00:38,130.0
2015-07-20T17:18:47,84.0
2015-07-20T18:47:46,86.0
2015-07-20T07:56:14,75.0
2015-07-20T09:46:59,85.0
2015-07-20T09:48:43,107.0
2015-07-21T11:14:27,86.0
2015-07-21T11:18:28,92.0
2015-07-21T12:08:29,97.0
2015-07-21T13:07:44,105.0
2015-07-21T13:14:30,88.0
2015-07-21T14:03:25,100.0
2015-07-21T14:54:00,102.0
2015-07-21T15:00:48,103.0
2015-07-21T15:56:18,88.0
2015-07-21T16:52:53,78.0
2015-07-21T17:02:57,119.0
2015-07-21T17:30:27,124.0
2015-07-21T17:58:11,100.0
2015-07-21T18:53:37,94.0
2015-07-21T19:01:45,112.0
2015-07-21T07:28:32,81.0
2015-07-21T07:37:28,88.0
2015-07-21T08:26:16,87.0
2015-07-21T08:30:22,91.0
2015-07-21T09:16:44,103.0
2015-07-21T09:23:04,117.0
2015-07-21T09:53:43,99.0
2015-07-21T10:07:09,87.0
2015-07-21T10:11:19,88.0
2015-07-22T10:51:39,95.0
2015-07-22T11:33:45,85.0
2015-07-22T11:54:45,104.0
2015-07-22T12:19:21,90.0
2015-07-22T12:47:40,97.0
2015-07-22T13:22:44,105.0
2015-07-22T13:46:26,88.0
2015-07-22T14:07:38,105.0
2015-07-22T14:41:39,98.0
2015-07-22T15:15:54,104.0
2015-07-22T15:38:50,157.0
2015-07-22T16:02:51,106.0
2015-07-22T16:37:35,83.0
2015-07-22T17:21:47,91.0
2015-07-22T17:38:47,99.0
2015-07-22T18:08:06,95.0
2015-07-22T18:29:41,82.0
2015-07-22T18:40:48,96.0
2015-07-22T19:10:22,89.0
2015-07-22T19:27:27,93.0
2015-07-22T07:50:38,90.0
2015-07-22T08:13:47,101.0
