Time,TT
2015-07-04T06:46:05,60.0
2015-07-12T06:41:19,43.0
2015-07-18T05:20:58,70.0
2015-07-19T06:40:56,84.0
2015-07-25T05:22:05,34.0
2015-07-26T06:43:04,30.0
2015-07-01T04:34:29,58.0
2015-07-02T04:40:49,90.0
2015-07-03T04:21:52,37.0
2015-07-04T07:55:42,60.0
2015-07-08T04:20:47,29.0
2015-07-11T04:26:50,78.0
2015-07-12T07:45:12,90.0
2015-07-13T04:34:51,40.0
2015-07-15T04:23:53,79.0
2015-07-16T04:20:49,21.0
2015-07-17T04:25:00,81.0
2015-07-18T04:20:53,37.0
2015-07-19T04:21:55,31.0
2015-07-21T04:25:59,89.0
2015-07-24T04:20:59,33.0
2015-07-25T04:23:06,40.0
2015-07-26T04:22:03,84.0
2015-07-26T07:41:13,40.0
2015-07-27T04:22:09,96.0
2015-07-28T04:17:09,55.0
2015-07-29T04:21:08,43.0
2015-07-30T04:22:12,101.0
2015-08-01T05:22:14,90.0
2015-08-01T05:52:22,50.0
2015-08-02T07:08:31,57.0
2015-08-09T06:46:27,62.0
2015-08-15T05:19:36,60.0
2015-08-15T05:53:54,73.0
2015-08-16T06:39:37,61.0
2015-08-23T06:53:02,29.0
2015-08-29T05:22:16,50.0
2015-08-30T06:35:56,29.0
2015-08-01T04:21:17,48.0
2015-08-02T04:22:20,60.0
2015-08-02T07:42:20,51.0
2015-08-03T04:21:16,30.0
2015-08-07T04:21:36,67.0
2015-08-09T04:21:37,79.0
2015-08-09T07:47:02,45.0
2015-08-11T04:40:33,61.0
2015-08-18T04:20:49,30.0
2015-08-19T04:23:40,61.0
2015-08-20T04:20:48,28.0
2015-08-21T04:21:44,73.0
2015-08-22T04:20:39,30.0
2015-08-23T04:25:46,75.0
2015-08-23T08:00:08,82.0
2015-08-24T04:22:04,90.0
2015-08-25T04:21:01,34.0
2015-08-27T04:23:12,40.0
2015-08-28T04:22:01,73.0
2015-08-29T04:21:06,40.0
2015-08-30T07:38:19,41.0
2015-07-05T05:50:55,69.0
2015-07-05T07:01:07,90.0
2015-07-12T06:41:19,43.0
2015-07-18T05:20:58,70.0
2015-07-19T06:31:04,39.0
2015-07-25T05:22:05,34.0
2015-07-25T05:50:06,44.0
2015-07-26T05:53:03,16.0
2015-07-26T06:43:04,30.0
2015-07-02T04:40:49,90.0
2015-07-03T04:21:52,37.0
2015-07-08T04:20:47,29.0
2015-07-11T04:26:50,78.0
2015-07-12T04:36:07,25.0
2015-07-12T07:45:12,90.0
2015-07-13T04:34:51,40.0
2015-07-15T04:23:53,79.0
2015-07-16T04:20:49,21.0
2015-07-17T04:25:00,81.0
2015-07-18T04:20:53,37.0
2015-07-19T04:21:55,31.0
2015-07-19T08:00:40,66.0
2015-07-21T04:25:59,89.0
2015-07-24T04:20:59,33.0
2015-07-25T04:23:06,40.0
2015-07-26T07:41:13,40.0
2015-07-27T04:22:09,96.0
2015-08-01T05:22:14,90.0
2015-08-01T05:52:22,50.0
2015-08-02T07:08:31,57.0
2015-08-09T06:46:27,62.0
2015-08-15T05:19:36,60.0
2015-08-15T05:53:54,73.0
2015-08-16T05:23:30,107.0
2015-08-16T06:27:01,22.0
2015-08-16T06:39:37,61.0
2015-08-23T06:53:02,29.0
2015-08-23T07:00:47,74.0
2015-08-02T04:22:20,60.0
2015-08-02T07:42:20,51.0
2015-08-03T04:21:16,30.0
2015-08-07T04:21:36,67.0
2015-08-09T04:21:37,79.0
2015-08-09T07:47:02,45.0
2015-08-11T04:40:33,61.0
2015-08-16T07:34:48,90.0
2015-08-18T04:20:49,30.0
2015-08-19T04:23:40,61.0
2015-08-20T04:20:48,28.0
2015-08-21T04:21:44,73.0
2015-08-22T04:20:39,30.0
2015-08-23T04:25:46,75.0
2015-08-23T08:00:08,82.0
2015-08-24T04:22:04,90.0
2015-08-25T04:21:01,34.0
2015-08-27T04:23:12,40.0
2015-08-28T04:22:01,73.0
2015-09-05T05:20:58,71.0
2015-09-05T06:29:30,1078.0
2015-09-07T07:12:42,69.0
2015-09-12T05:24:26,30.0
2015-09-12T05:53:24,54.0
2015-09-13T06:38:18,29.0
2015-09-13T06:59:48,75.0
2015-09-19T05:22:21,45.0
2015-09-19T05:52:36,90.0
2015-09-20T05:23:02,68.0
2015-09-20T06:40:51,33.0
2015-09-20T06:41:02,47.0
2015-09-02T04:22:12,40.0
2015-09-03T04:22:28,108.0
2015-09-04T04:22:19,107.0
2015-09-05T04:22:18,108.0
2015-09-06T07:43:13,41.0
2015-09-09T04:22:12,86.0
2015-09-10T04:23:08,61.0
2015-09-11T04:24:26,50.0
2015-09-13T07:39:26,47.0
2015-09-15T04:22:19,105.0
2015-09-16T04:41:18,65.0
2015-09-17T04:21:23,64.0
2015-09-18T04:35:27,30.0
2015-09-19T04:23:27,60.0
2015-09-20T04:33:28,45.0
2015-09-20T07:44:47,55.0
2015-09-22T04:22:39,65.0
2015-09-23T04:22:03,90.0
2015-09-24T04:21:57,90.0
