Time,TT
2015-07-04T05:52:42,29.0
2015-07-04T06:25:31,60.0
2015-07-05T05:51:57,35.0
2015-07-05T07:25:40,33.0
2015-07-12T06:28:53,37.0
2015-07-19T06:25:12,45.0
2015-07-26T06:28:13,60.0
2015-07-26T07:26:06,46.0
2015-08-02T06:27:14,47.0
2015-08-02T07:26:04,40.0
2015-08-09T06:28:05,31.0
2015-08-09T07:27:11,40.0
2015-08-16T06:27:05,50.0
2015-08-16T07:26:01,35.0
2015-08-30T06:24:05,38.0
2015-08-30T07:27:19,53.0
2015-07-05T05:51:57,35.0
2015-07-05T07:25:40,33.0
2015-07-05T07:39:33,79.0
2015-07-05T08:12:28,58.0
2015-07-12T06:28:53,37.0
2015-07-12T07:39:42,35.0
2015-07-19T06:17:56,39.0
2015-07-19T06:25:12,45.0
2015-07-19T07:05:39,62.0
2015-07-26T06:28:13,60.0
2015-07-26T07:26:06,46.0
2015-08-02T05:54:05,53.0
2015-08-02T06:27:14,47.0
2015-08-02T06:43:07,56.0
2015-08-02T07:26:04,40.0
2015-08-02T07:44:35,75.0
2015-08-09T06:02:59,36.0
2015-08-09T06:28:05,31.0
2015-08-09T06:43:04,44.0
2015-08-09T07:04:52,54.0
2015-08-09T07:27:11,40.0
2015-08-09T07:41:02,41.0
2015-08-16T05:57:06,55.0
2015-08-16T06:27:05,50.0
2015-08-16T06:46:05,31.0
2015-08-16T07:26:01,35.0
2015-08-23T05:54:08,74.0
2015-08-23T06:47:07,42.0
2015-08-23T07:43:08,32.0
2015-08-23T08:10:59,45.0
2015-09-06T06:27:57,35.0
2015-09-06T07:23:03,43.0
2015-09-07T06:47:52,90.0
2015-09-07T06:47:08,38.0
2015-09-07T07:26:18,57.0
2015-09-07T08:03:05,76.0
2015-09-13T06:23:07,44.0
2015-09-13T07:23:19,43.0
2015-09-20T06:24:10,49.0
