Time,TT
2015-07-01T01:10:46,99.0
2015-07-01T05:19:24,90.0
2015-07-01T07:12:54,150.0
2015-07-03T01:02:52,90.0
2015-07-03T05:24:55,120.0
2015-07-03T07:12:39,91.0
2015-07-04T07:36:36,73.0
2015-07-06T05:17:49,81.0
2015-07-06T07:16:57,79.0
2015-07-07T05:25:24,90.0
2015-07-07T07:21:11,151.0
2015-07-08T05:19:44,97.0
2015-07-08T07:18:33,90.0
2015-07-09T05:23:58,80.0
2015-07-09T07:20:04,76.0
2015-07-10T05:23:58,69.0
2015-07-10T07:13:51,71.0
2015-07-11T01:07:48,101.0
2015-07-11T06:10:16,76.0
2015-07-12T07:27:50,86.0
2015-07-13T01:06:37,53.0
2015-07-13T05:18:56,61.0
2015-07-13T07:18:57,196.0
2015-07-14T01:18:01,150.0
2015-07-15T01:09:02,86.0
2015-07-16T01:04:01,65.0
2015-07-16T05:22:48,114.0
2015-07-16T07:18:06,48.0
2015-07-17T01:12:45,52.0
2015-07-17T05:17:04,171.0
2015-07-17T07:13:59,147.0
2015-07-18T06:04:05,71.0
2015-07-19T01:02:46,72.0
2015-07-19T07:31:32,89.0
2015-07-21T01:11:31,60.0
2015-07-21T05:24:05,74.0
2015-07-21T07:31:50,68.0
2015-07-22T05:27:01,80.0
2015-07-22T07:16:55,147.0
2015-07-23T01:03:54,62.0
2015-07-23T05:25:36,90.0
2015-07-23T07:22:47,73.0
2015-07-24T01:05:21,47.0
2015-07-24T05:24:46,90.0
2015-07-24T07:21:42,99.0
2015-07-25T00:59:08,121.0
2015-07-25T06:11:30,60.0
2015-07-26T01:06:27,39.0
2015-07-26T07:25:14,75.0
2015-07-27T01:06:32,121.0
2015-07-27T05:19:04,65.0
2015-07-27T07:15:45,90.0
2015-07-28T01:07:49,103.0
2015-07-28T05:20:40,79.0
2015-07-28T07:16:39,59.0
2015-07-29T01:02:52,84.0
2015-07-30T01:07:47,83.0
2015-07-18T05:53:52,84.0
2015-07-25T05:55:18,78.0
2015-08-01T01:09:02,81.0
2015-08-01T06:12:46,49.0
2015-08-02T01:07:45,69.0
2015-08-02T07:26:41,16.0
2015-08-03T01:03:57,51.0
2015-08-04T01:04:00,61.0
2015-08-05T01:02:45,69.0
2015-08-05T05:25:29,90.0
2015-08-05T07:25:29,98.0
2015-08-07T01:04:02,151.0
2015-08-07T05:17:49,75.0
2015-08-07T07:20:06,86.0
2015-08-08T00:50:37,70.0
2015-08-08T06:10:13,75.0
2015-08-09T01:04:06,64.0
2015-08-09T07:33:04,90.0
2015-08-10T01:02:50,78.0
2015-08-10T05:17:49,73.0
2015-08-10T07:26:03,77.0
2015-08-11T05:22:52,73.0
