Time,TT
2015-07-04T06:01:17,90.0
2015-07-04T06:44:25,36.0
2015-07-04T07:25:28,25.0
2015-07-04T07:42:32,31.0
2015-07-05T06:42:21,76.0
2015-07-05T07:00:36,28.0
2015-07-11T06:02:29,80.0
2015-07-12T06:25:30,38.0
2015-07-12T06:41:41,44.0
2015-07-12T07:00:35,30.0
2015-07-12T07:27:52,107.0
2015-07-19T06:45:23,53.0
2015-07-19T07:00:29,50.0
2015-07-19T07:26:36,8.0
2015-08-02T05:57:36,20.0
2015-08-02T06:43:31,66.0
2015-08-02T06:58:29,50.0
2015-08-02T07:25:39,47.0
2015-08-02T07:44:36,32.0
2015-08-09T05:58:21,20.0
2015-08-09T06:44:37,53.0
2015-08-09T07:05:30,57.0
2015-08-09T07:25:17,56.0
2015-08-09T07:43:29,46.0
2015-08-16T06:00:27,41.0
2015-08-16T07:03:29,42.0
2015-08-16T07:24:43,31.0
2015-08-16T07:46:34,51.0
2015-08-30T06:03:30,37.0
2015-08-30T06:41:41,37.0
2015-08-30T06:58:59,80.0
2015-08-30T07:47:20,65.0
2015-07-05T06:42:21,76.0
2015-07-05T07:00:36,28.0
2015-07-11T06:02:29,80.0
2015-07-11T06:26:17,82.0
2015-07-11T06:37:11,55.0
2015-07-12T06:25:30,38.0
2015-07-12T06:41:41,44.0
2015-07-12T07:00:35,30.0
2015-07-12T07:27:52,107.0
2015-07-19T06:45:23,53.0
2015-07-19T07:00:29,50.0
2015-07-19T07:26:36,8.0
2015-07-25T06:05:15,29.0
2015-08-01T06:02:18,22.0
2015-08-01T06:37:16,40.0
2015-08-02T05:57:36,20.0
2015-08-02T06:24:41,33.0
2015-08-02T06:43:31,66.0
2015-08-02T06:58:29,50.0
2015-08-02T07:25:39,47.0
2015-08-02T07:44:36,32.0
2015-08-08T06:04:32,10.0
2015-08-09T05:58:21,20.0
2015-08-09T06:44:37,53.0
2015-08-09T07:05:30,57.0
2015-08-09T07:25:17,56.0
2015-08-09T07:43:29,46.0
2015-08-16T06:00:27,41.0
2015-08-16T07:03:29,42.0
2015-08-16T07:24:43,31.0
2015-08-16T07:46:34,51.0
2015-09-06T05:58:48,36.0
2015-09-06T06:42:50,60.0
2015-09-06T07:00:30,58.0
2015-09-06T07:27:32,21.0
2015-09-06T07:43:35,37.0
2015-09-07T06:03:25,70.0
2015-09-07T06:26:41,108.0
2015-09-07T07:19:27,31.0
2015-09-07T07:45:36,41.0
2015-09-12T06:04:28,61.0
2015-09-12T06:24:38,58.0
2015-09-13T05:57:39,22.0
2015-09-13T06:44:31,67.0
2015-09-13T07:02:56,39.0
2015-09-13T07:23:36,33.0
2015-09-13T07:41:32,46.0
2015-09-20T05:58:35,30.0
2015-09-20T06:42:28,49.0
2015-09-20T07:05:31,33.0
2015-09-20T07:26:26,44.0
2015-09-20T07:47:24,23.0
