Time,TT
2015-07-01T12:25:36,46.0
2015-07-01T12:34:55,228.0
2015-07-01T14:31:26,29.0
2015-07-01T14:41:41,129.0
2015-07-01T16:45:39,50.0
2015-07-01T16:59:52,95.0
2015-07-02T11:13:13,176.0
2015-07-02T11:45:16,121.0
2015-07-02T11:56:47,60.0
2015-07-02T12:25:38,86.0
2015-07-02T12:34:46,94.0
2015-07-02T12:45:30,77.0
2015-07-02T13:25:40,141.0
2015-07-02T13:54:46,76.0
2015-07-02T14:02:36,85.0
2015-07-02T14:31:46,96.0
2015-07-02T14:40:51,107.0
2015-07-02T14:59:27,143.0
2015-07-02T15:32:47,91.0
2015-07-02T16:00:45,89.0
2015-07-02T16:16:42,87.0
2015-07-02T16:59:55,183.0
2015-07-02T17:09:09,117.0
2015-07-02T17:19:19,126.0
2015-07-02T10:44:30,185.0
2015-07-03T11:14:33,81.0
2015-07-03T12:37:21,2.0
2015-07-03T12:44:47,108.0
2015-07-03T13:23:40,88.0
2015-07-03T14:49:33,136.0
2015-07-03T14:57:30,95.0
2015-07-03T15:28:37,80.0
2015-07-03T16:06:04,112.0
2015-07-03T17:04:36,142.0
2015-07-03T17:12:42,48.0
2015-07-03T10:33:02,106.0
2015-07-03T10:37:32,81.0
2015-07-04T10:54:46,86.0
2015-07-04T12:54:41,82.0
2015-07-04T14:58:38,346.0
2015-07-04T16:56:35,131.0
2015-07-04T09:04:48,37.0
2015-07-05T10:53:43,119.0
2015-07-05T13:02:48,50.0
2015-07-05T14:56:09,126.0
2015-07-05T16:57:59,81.0
2015-07-05T09:03:45,119.0
2015-07-06T11:05:34,141.0
2015-07-06T12:02:34,68.0
2015-07-06T13:12:33,78.0
2015-07-06T13:55:31,69.0
2015-07-06T14:04:45,43.0
2015-07-06T14:19:10,49.0
2015-07-06T15:23:36,143.0
2015-07-06T16:04:51,91.0
2015-07-06T16:28:43,177.0
2015-07-06T16:28:45,90.0
2015-07-07T11:29:40,211.0
2015-07-07T11:44:38,144.0
2015-07-07T11:58:45,145.0
2015-07-07T12:18:27,12.0
2015-07-07T12:49:29,201.0
2015-07-07T12:53:47,30.0
2015-07-07T13:37:01,98.0
2015-07-07T14:01:50,140.0
2015-07-07T14:08:38,79.0
2015-07-07T14:24:33,208.0
2015-07-07T14:55:07,26.0
2015-07-07T15:04:40,161.0
2015-07-07T15:45:30,81.0
2015-07-07T15:57:37,93.0
2015-07-07T16:32:18,130.0
2015-07-07T16:41:32,150.0
2015-07-07T17:12:27,60.0
2015-07-07T17:19:54,99.0
2015-07-07T10:46:59,105.0
2015-07-08T10:59:45,17.0
2015-07-08T11:22:44,118.0
