Time,TT
2015-07-07T08:11:33,1.0
2015-07-10T08:12:17,30.0
2015-07-15T07:25:14,27.0
2015-07-15T08:52:36,54.0
2015-07-16T09:07:49,10.0
2015-07-20T08:08:33,24.0
2015-07-21T08:24:10,68.0
2015-07-21T09:15:35,18.0
2015-07-23T07:28:54,1.0
2015-07-23T08:46:02,85.0
2015-07-29T07:39:14,2.0
2015-07-29T09:01:40,21.0
2015-08-07T07:50:12,52.0
2015-08-10T07:40:30,67.0
2015-08-10T09:02:35,95.0
2015-08-11T08:15:54,51.0
2015-08-13T08:14:32,44.0
2015-08-13T08:22:54,51.0
2015-08-25T07:38:58,3.0
2015-08-25T09:01:43,152.0
2015-08-26T07:19:09,15.0
2015-08-26T08:39:21,22.0
2015-07-01T07:51:22,47.0
2015-07-02T07:35:16,51.0
2015-07-02T08:54:15,83.0
2015-07-06T07:26:21,60.0
2015-07-06T07:50:11,26.0
2015-07-06T08:11:31,1.0
2015-07-06T08:42:52,7.0
2015-07-07T07:14:20,29.0
2015-07-07T07:39:18,75.0
2015-07-07T08:11:33,1.0
2015-07-07T08:36:26,130.0
2015-07-07T08:59:23,218.0
2015-07-07T09:17:29,90.0
2015-07-08T07:16:27,47.0
2015-07-08T08:06:33,9.0
2015-07-08T08:26:08,30.0
2015-07-08T08:34:51,15.0
2015-07-09T08:15:47,12.0
2015-07-09T08:33:33,86.0
2015-07-10T07:28:38,40.0
2015-07-10T08:02:49,62.0
2015-07-10T08:12:17,30.0
2015-07-10T08:25:46,95.0
2015-07-10T08:49:28,146.0
2015-07-10T09:02:35,53.0
2015-07-13T08:24:54,4.0
2015-07-14T08:11:33,69.0
2015-07-15T07:25:14,27.0
2015-07-15T08:25:29,83.0
2015-07-15T08:52:36,54.0
2015-07-16T07:20:16,43.0
2015-07-16T07:41:30,62.0
2015-07-16T08:38:07,2.0
2015-07-16T08:54:35,30.0
2015-07-16T09:07:49,10.0
2015-07-17T07:47:57,10.0
2015-07-17T07:59:10,22.0
2015-07-20T07:52:57,4.0
2015-07-20T08:08:33,24.0
2015-07-21T08:24:10,68.0
2015-07-21T09:15:35,18.0
2015-07-22T07:16:26,23.0
2015-07-22T08:23:55,54.0
2015-07-22T08:40:41,20.0
2015-07-23T07:28:54,1.0
2015-07-23T07:40:11,2.0
2015-07-23T08:46:02,85.0
2015-07-23T08:54:01,53.0
2015-07-24T07:38:58,55.0
2015-07-24T08:14:34,30.0
2015-07-24T08:32:03,93.0
2015-07-24T08:54:06,75.0
2015-07-27T09:08:02,141.0
2015-08-03T08:24:03,39.0
2015-08-04T07:18:09,76.0
2015-08-04T08:31:57,32.0
2015-08-05T07:29:55,128.0
2015-08-05T07:40:10,131.0
2015-08-05T07:52:43,135.0
2015-08-05T08:47:29,7.0
2015-08-05T08:57:18,4.0
2015-08-05T09:04:48,28.0
2015-08-07T07:38:20,94.0
2015-08-07T07:50:12,52.0
2015-08-07T08:00:07,58.0
2015-08-07T08:20:33,27.0
2015-08-07T08:50:44,6.0
2015-08-10T07:40:30,67.0
2015-08-10T09:02:35,95.0
2015-08-11T07:51:40,63.0
2015-08-11T08:02:33,40.0
2015-08-11T08:15:54,51.0
2015-08-11T09:16:10,128.0
2015-08-12T07:21:43,22.0
2015-08-12T07:28:54,43.0
2015-08-12T08:17:41,94.0
2015-08-12T08:46:05,86.0
2015-08-12T09:10:28,65.0
2015-08-13T07:21:58,0.0
2015-08-13T08:14:32,44.0
2015-08-13T08:22:54,51.0
2015-08-13T08:37:28,111.0
2015-08-18T07:52:47,58.0
2015-08-18T08:00:48,9.0
2015-08-18T09:09:01,10.0
2015-08-19T07:18:27,30.0
2015-08-19T07:31:50,7.0
2015-08-19T08:37:35,122.0
2015-08-19T08:48:02,8.0
2015-08-20T07:37:40,4.0
2015-08-20T08:58:26,91.0
2015-08-20T09:15:39,69.0
2015-08-21T08:23:33,164.0
2015-08-24T07:55:37,90.0
2015-08-24T08:00:25,70.0
2015-08-25T07:16:00,18.0
2015-08-25T07:28:59,5.0
2015-08-25T07:38:58,3.0
2015-08-25T08:40:38,146.0
2015-08-25T08:53:54,151.0
2015-08-25T09:01:43,152.0
2015-08-26T07:19:09,15.0
2015-08-26T07:28:57,6.0
2015-08-26T07:50:06,1.0
2015-08-26T08:39:21,22.0
2015-08-26T08:52:58,316.0
2015-08-27T07:30:29,0.0
2015-08-27T08:06:46,28.0
2015-08-27T08:27:29,76.0
2015-08-27T08:55:04,87.0
2015-08-27T09:22:22,90.0
2015-08-28T07:29:02,17.0
2015-08-28T07:50:27,22.0
2015-08-28T08:47:34,1.0
2015-09-01T07:31:23,57.0
2015-09-01T07:55:30,60.0
2015-09-02T07:16:04,39.0
2015-09-02T07:39:35,103.0
2015-09-02T08:15:33,53.0
2015-09-02T08:36:12,78.0
2015-09-02T08:56:53,22.0
2015-09-03T07:56:02,93.0
2015-09-03T08:10:31,91.0
2015-09-04T08:23:50,33.0
2015-09-08T07:33:51,38.0
2015-09-08T07:42:50,60.0
2015-09-08T08:56:58,140.0
2015-09-08T09:02:44,59.0
2015-09-09T07:15:27,67.0
2015-09-09T08:28:44,53.0
2015-09-09T08:37:28,30.0
2015-09-09T09:12:57,13.0
2015-09-11T07:39:12,76.0
2015-09-11T08:58:01,71.0
2015-09-14T07:51:49,8.0
2015-09-14T08:15:45,6.0
2015-09-16T07:38:44,37.0
2015-09-16T09:01:48,20.0
2015-09-17T07:37:39,45.0
2015-09-17T07:51:34,1.0
2015-09-17T08:10:43,9.0
2015-09-17T08:16:35,216.0
2015-09-17T08:29:07,190.0
2015-09-17T09:04:19,32.0
2015-09-18T07:15:32,10.0
2015-09-18T08:15:04,11.0
2015-09-18T08:32:42,181.0
2015-09-21T07:39:43,5.0
2015-09-21T07:53:49,299.0
2015-09-21T09:00:50,112.0
2015-09-21T09:23:30,20.0
2015-09-22T07:17:40,58.0
2015-09-22T07:52:15,13.0
2015-09-22T08:06:15,100.0
2015-09-22T08:36:30,6.0
2015-09-23T08:23:11,9.0
2015-09-24T07:14:27,26.0
2015-09-24T08:03:45,43.0
2015-09-24T08:16:35,37.0
2015-09-24T08:35:21,22.0
2015-09-25T07:29:35,107.0
2015-09-25T08:03:54,19.0
2015-09-25T08:45:19,1.0
