Time,TT
2015-07-01T02:00:19,30.0
2015-07-01T02:23:51,25.0
2015-07-01T02:46:13,20.0
2015-07-01T03:31:52,32.0
2015-07-01T03:52:58,27.0
2015-07-01T04:25:03,30.0
2015-07-01T05:19:48,19.0
2015-07-02T02:19:53,26.0
2015-07-02T03:35:13,39.0
2015-07-02T03:51:34,21.0
2015-07-02T05:19:47,20.0
2015-07-03T01:54:16,20.0
2015-07-03T02:21:01,24.0
2015-07-03T03:20:53,30.0
2015-07-03T03:52:57,28.0
2015-07-03T05:22:12,25.0
2015-07-04T02:02:02,41.0
2015-07-04T03:45:59,30.0
2015-07-06T02:21:24,30.0
2015-07-06T03:50:12,31.0
2015-07-06T05:21:08,30.0
2015-07-07T02:23:59,31.0
2015-07-07T02:54:50,19.0
2015-07-07T03:46:38,26.0
2015-07-07T04:22:27,27.0
2015-07-07T05:18:20,26.0
2015-07-08T02:25:21,30.0
2015-07-08T02:53:47,30.0
2015-07-08T03:25:04,30.0
2015-07-08T03:55:43,30.0
2015-07-08T04:21:08,30.0
2015-07-08T05:14:34,29.0
2015-07-09T02:22:28,27.0
2015-07-09T02:57:38,29.0
2015-07-09T03:50:26,32.0
2015-07-09T04:24:58,30.0
2015-07-09T05:18:22,30.0
2015-07-10T02:28:14,30.0
2015-07-10T02:53:16,30.0
2015-07-10T03:51:48,28.0
2015-07-10T04:26:26,28.0
2015-07-10T05:27:44,30.0
2015-07-11T02:04:16,30.0
2015-07-11T02:57:12,31.0
2015-07-11T03:35:45,28.0
2015-07-11T04:26:49,30.0
2015-07-13T01:58:35,27.0
2015-07-13T02:53:10,30.0
2015-07-13T03:34:38,27.0
2015-07-13T04:22:31,30.0
2015-07-14T02:13:34,26.0
2015-07-14T02:25:08,30.0
2015-07-14T02:52:59,18.0
2015-07-14T03:41:01,19.0
2015-07-14T03:55:41,28.0
2015-07-14T04:22:29,27.0
2015-07-14T05:28:28,30.0
2015-07-15T01:57:36,27.0
2015-07-15T02:33:40,30.0
2015-07-15T02:53:18,26.0
2015-07-15T03:30:34,41.0
2015-07-15T03:50:02,20.0
2015-07-15T04:23:48,30.0
2015-07-16T01:58:40,29.0
2015-07-16T02:23:40,24.0
2015-07-16T02:53:15,32.0
2015-07-16T03:22:57,29.0
2015-07-16T03:50:24,30.0
2015-07-16T04:25:02,30.0
2015-07-16T05:16:48,19.0
2015-07-17T02:00:20,23.0
2015-07-17T02:23:02,30.0
2015-07-17T02:57:08,18.0
2015-07-17T03:25:38,30.0
2015-07-17T03:54:15,32.0
2015-07-17T04:26:32,31.0
2015-07-17T05:18:33,29.0
2015-07-18T03:21:03,25.0
2015-07-19T01:53:36,18.0
2015-07-19T03:23:39,30.0
2015-07-20T02:19:37,22.0
2015-07-20T02:50:46,30.0
2015-07-20T04:00:51,31.0
2015-07-20T04:22:34,18.0
2015-07-20T05:22:23,30.0
2015-07-21T02:06:58,30.0
2015-07-21T02:51:48,30.0
2015-07-21T03:38:09,19.0
2015-07-21T04:22:22,31.0
2015-07-22T02:19:38,18.0
2015-07-22T02:51:56,35.0
2015-07-22T03:22:13,20.0
2015-07-22T03:48:45,19.0
2015-07-22T05:18:11,31.0
2015-07-23T01:57:16,29.0
2015-07-23T02:19:36,30.0
2015-07-23T02:54:33,30.0
2015-07-23T03:23:38,20.0
2015-07-23T03:50:18,31.0
2015-07-23T04:25:41,30.0
2015-07-23T05:21:23,30.0
2015-07-24T01:56:22,35.0
2015-07-24T02:29:18,28.0
2015-07-24T02:52:01,30.0
2015-07-24T03:22:17,30.0
2015-07-24T03:49:08,29.0
2015-07-24T04:22:19,19.0
2015-07-24T05:16:53,30.0
2015-07-25T02:02:22,30.0
2015-07-25T02:28:56,28.0
2015-07-25T02:56:28,30.0
2015-07-25T03:34:43,30.0
2015-07-25T03:54:31,30.0
2015-07-25T04:22:40,30.0
2015-07-25T05:21:45,30.0
2015-07-26T01:56:12,30.0
2015-07-26T02:25:25,27.0
2015-07-26T02:54:47,29.0
2015-07-26T03:23:58,30.0
2015-07-26T03:54:21,30.0
2015-07-26T04:25:00,18.0
2015-07-26T05:22:54,29.0
2015-07-27T01:52:00,30.0
2015-07-27T02:22:38,26.0
2015-07-27T02:53:07,30.0
2015-07-27T03:21:03,24.0
2015-07-27T03:51:46,19.0
2015-07-27T04:22:26,18.0
2015-07-27T05:16:45,20.0
2015-07-28T01:51:55,30.0
2015-07-28T02:19:25,28.0
2015-07-28T02:53:22,30.0
2015-07-28T03:18:11,19.0
2015-07-28T03:50:05,23.0
2015-07-28T04:22:29,30.0
2015-07-28T05:18:01,20.0
2015-07-29T01:52:15,21.0
2015-07-29T02:21:08,25.0
2015-07-29T03:17:09,22.0
2015-07-29T03:51:46,27.0
2015-07-29T05:23:42,33.0
2015-07-30T01:58:41,30.0
2015-07-30T02:21:12,22.0
2015-07-30T03:19:45,19.0
2015-07-30T03:50:35,21.0
2015-07-30T05:20:48,20.0
2015-07-31T01:58:28,28.0
2015-07-31T02:23:36,23.0
2015-07-31T02:51:48,30.0
2015-07-31T03:19:44,30.0
2015-07-31T03:48:51,30.0
2015-07-31T04:26:43,30.0
2015-07-31T05:23:48,30.0
2015-07-04T04:50:33,30.0
2015-07-05T04:50:27,30.0
2015-07-08T01:27:53,27.0
2015-07-09T01:31:49,26.0
2015-07-13T01:25:15,30.0
2015-07-14T01:25:35,30.0
2015-07-15T01:29:08,30.0
2015-07-16T01:26:41,30.0
2015-07-17T01:27:53,30.0
2015-07-18T04:50:44,28.0
2015-07-21T01:25:28,30.0
2015-07-22T01:29:31,32.0
2015-07-23T01:31:34,19.0
2015-07-24T01:29:29,18.0
2015-07-25T04:50:24,29.0
2015-07-26T01:29:10,30.0
2015-07-27T01:25:50,32.0
2015-07-28T01:25:01,18.0
2015-08-01T01:56:03,30.0
2015-08-01T03:21:32,27.0
2015-08-02T01:59:55,26.0
2015-08-02T02:22:23,24.0
2015-08-02T03:26:09,30.0
2015-08-02T03:52:53,19.0
2015-08-02T05:22:33,27.0
2015-08-03T01:51:53,26.0
2015-08-03T02:51:55,17.0
2015-08-03T03:22:46,25.0
2015-08-03T04:25:23,32.0
2015-08-04T02:32:04,31.0
2015-08-04T03:55:42,30.0
2015-08-04T05:24:20,32.0
2015-08-05T02:58:38,33.0
2015-08-05T04:23:58,33.0
2015-08-07T01:51:41,26.0
2015-08-07T02:24:50,22.0
2015-08-07T02:57:21,30.0
2015-08-07T03:20:18,30.0
2015-08-07T03:51:41,31.0
2015-08-07T04:22:22,30.0
2015-08-07T05:18:35,29.0
2015-08-08T02:25:10,30.0
2015-08-08T03:50:19,29.0
2015-08-08T05:18:34,25.0
2015-08-09T01:53:10,26.0
2015-08-09T02:24:58,26.0
2015-08-09T02:59:24,46.0
2015-08-09T03:26:18,28.0
2015-08-09T03:50:27,25.0
2015-08-09T04:32:32,33.0
2015-08-09T05:26:09,32.0
2015-08-11T01:49:11,24.0
2015-08-11T02:21:11,26.0
2015-08-11T02:52:01,32.0
2015-08-11T03:19:22,20.0
2015-08-11T03:52:59,29.0
2015-08-11T04:23:41,30.0
2015-08-11T05:18:20,31.0
2015-08-12T02:25:12,26.0
2015-08-12T02:57:00,31.0
2015-08-12T03:49:02,27.0
2015-08-12T04:24:57,18.0
2015-08-12T05:22:13,27.0
2015-08-13T02:27:44,27.0
2015-08-13T02:55:55,30.0
2015-08-13T03:55:58,29.0
2015-08-13T04:24:03,30.0
2015-08-14T02:22:16,30.0
2015-08-14T02:57:52,31.0
2015-08-14T03:51:26,30.0
2015-08-14T04:22:29,28.0
2015-08-14T05:22:16,27.0
2015-08-15T03:06:17,30.0
2015-08-15T04:27:43,29.0
2015-08-16T02:25:12,30.0
2015-08-16T03:01:36,31.0
2015-08-16T03:51:34,18.0
2015-08-16T04:34:26,30.0
2015-08-16T05:19:28,19.0
2015-08-17T02:24:58,19.0
2015-08-17T02:52:07,30.0
2015-08-17T03:50:08,19.0
2015-08-17T04:21:20,30.0
2015-08-17T05:16:53,32.0
2015-08-18T01:50:32,21.0
2015-08-18T02:21:05,20.0
2015-08-18T02:53:12,30.0
2015-08-18T03:18:06,20.0
2015-08-18T03:50:05,25.0
2015-08-18T04:20:04,30.0
2015-08-18T05:19:37,28.0
2015-08-19T01:53:04,17.0
2015-08-19T02:35:51,27.0
2015-08-19T02:51:44,30.0
2015-08-19T03:21:06,19.0
2015-08-19T04:03:42,18.0
2015-08-19T04:25:22,30.0
2015-08-19T05:41:12,30.0
2015-08-20T01:51:32,30.0
2015-08-20T03:03:58,30.0
2015-08-20T03:20:15,19.0
2015-08-20T04:37:14,27.0
2015-08-21T01:53:10,30.0
2015-08-21T02:25:11,30.0
2015-08-21T02:56:00,30.0
