Time,TT
2015-07-01T06:34:25,20.0
2015-07-01T07:23:24,109.0
2015-07-01T07:46:23,26.0
2015-07-01T08:35:59,134.0
2015-07-01T09:00:46,22.0
2015-07-01T09:56:23,8.0
2015-07-02T07:23:56,133.0
2015-07-02T08:35:41,117.0
2015-07-02T09:53:38,71.0
2015-07-03T06:35:52,301.0
2015-07-03T06:55:28,39.0
2015-07-03T07:45:23,35.0
2015-07-03T08:11:01,33.0
2015-07-03T09:03:57,227.0
2015-07-03T09:28:52,114.0
2015-07-06T06:27:34,37.0
2015-07-06T06:41:38,40.0
2015-07-06T07:08:47,42.0
2015-07-06T07:40:40,37.0
2015-07-06T07:53:38,23.0
2015-07-06T08:20:13,55.0
2015-07-06T08:34:27,41.0
2015-07-06T08:59:33,161.0
2015-07-06T09:08:19,8.0
2015-07-06T09:36:38,44.0
2015-07-06T09:54:13,72.0
2015-07-07T06:46:50,24.0
2015-07-07T07:47:25,119.0
2015-07-07T09:14:03,34.0
2015-07-08T10:01:32,66.0
2015-07-08T07:27:32,26.0
2015-07-08T08:42:11,22.0
2015-07-08T08:50:33,33.0
2015-07-10T06:43:59,23.0
2015-07-10T07:57:35,25.0
2015-07-10T09:13:01,33.0
2015-07-13T07:05:06,146.0
2015-07-13T07:13:59,24.0
2015-07-13T08:20:38,32.0
2015-07-13T08:26:09,30.0
2015-07-13T08:52:46,29.0
2015-07-13T09:39:49,32.0
2015-07-13T09:43:08,30.0
2015-07-14T06:27:10,87.0
2015-07-14T06:41:15,30.0
2015-07-14T06:46:15,47.0
2015-07-14T07:36:06,106.0
2015-07-14T07:27:19,28.0
2015-07-14T07:47:46,126.0
2015-07-14T07:57:45,33.0
2015-07-14T08:52:25,32.0
2015-07-14T08:57:59,79.0
2015-07-14T09:06:26,157.0
2015-07-14T09:15:26,25.0
2015-07-15T07:21:04,26.0
2015-07-15T08:39:29,30.0
2015-07-15T10:03:48,31.0
2015-07-17T06:44:19,244.0
2015-07-17T07:28:39,317.0
2015-07-17T08:41:36,383.0
2015-07-20T10:01:04,187.0
2015-07-20T06:27:35,50.0
2015-07-20T07:41:30,23.0
2015-07-20T08:36:33,23.0
2015-07-20T08:40:46,78.0
2015-07-20T08:56:41,40.0
2015-07-20T09:54:19,75.0
2015-07-21T10:01:39,241.0
2015-07-21T06:39:34,33.0
2015-07-21T07:29:48,20.0
2015-07-21T07:52:54,34.0
2015-07-21T08:40:41,281.0
2015-07-21T09:06:42,47.0
2015-07-22T06:46:38,108.0
2015-07-22T07:19:51,29.0
2015-07-22T07:57:57,45.0
2015-07-22T08:30:05,42.0
2015-07-22T09:16:06,29.0
2015-07-22T09:50:15,45.0
2015-07-27T06:46:28,24.0
2015-07-27T06:54:42,30.0
2015-07-27T07:47:44,94.0
2015-07-27T08:08:15,27.0
2015-07-27T09:14:16,332.0
2015-07-28T06:55:24,25.0
2015-07-28T09:13:12,44.0
2015-07-29T07:05:48,27.0
2015-07-29T08:18:06,44.0
2015-07-29T09:37:37,37.0
2015-07-30T10:01:28,29.0
2015-07-30T07:29:09,311.0
2015-07-30T08:38:59,108.0
2015-07-31T06:56:02,16.0
2015-07-31T08:07:51,30.0
2015-08-03T07:09:22,29.0
2015-08-03T08:22:50,27.0
2015-08-03T09:36:52,117.0
2015-08-04T08:43:22,29.0
2015-08-05T06:27:34,36.0
2015-08-05T06:37:54,33.0
2015-08-05T07:41:42,204.0
2015-08-05T07:49:36,28.0
2015-08-05T08:53:04,40.0
2015-08-05T09:09:15,37.0
2015-08-06T06:41:08,31.0
2015-08-06T06:51:19,22.0
2015-08-06T07:49:37,30.0
2015-08-06T09:08:53,27.0
2015-08-06T09:20:30,107.0
2015-08-07T07:11:11,25.0
2015-08-07T08:19:52,28.0
2015-08-07T08:53:05,40.0
2015-08-07T09:39:19,56.0
2015-08-11T09:59:13,30.0
2015-08-11T07:29:20,220.0
2015-08-11T08:40:45,305.0
2015-08-12T06:56:08,33.0
2015-08-12T08:08:17,26.0
2015-08-12T09:59:26,73.0
2015-08-13T06:46:18,31.0
2015-08-13T07:58:21,27.0
2015-08-13T09:14:43,27.0
2015-08-14T06:44:01,16.0
2015-08-14T06:56:49,19.0
2015-08-14T07:33:15,26.0
2015-08-14T07:53:01,31.0
2015-08-14T08:08:06,23.0
2015-08-14T08:46:31,23.0
2015-08-14T09:10:39,27.0
2015-08-14T09:25:15,30.0
2015-08-18T10:04:53,17.0
2015-08-18T06:29:06,32.0
2015-08-18T07:29:56,27.0
2015-08-18T07:40:25,71.0
2015-08-18T08:41:47,38.0
2015-08-18T08:56:30,56.0
2015-08-19T10:05:33,31.0
2015-08-19T07:29:00,100.0
2015-08-19T07:34:48,26.0
2015-08-19T08:43:13,30.0
2015-08-20T10:02:26,52.0
2015-08-20T07:25:43,100.0
2015-08-20T08:41:26,25.0
2015-08-24T06:53:25,20.0
2015-08-24T08:03:03,29.0
2015-08-24T08:30:22,67.0
2015-08-24T09:23:41,34.0
2015-08-25T07:06:29,63.0
2015-08-25T08:33:32,36.0
2015-08-26T06:28:58,35.0
2015-08-26T07:45:19,40.0
2015-08-26T08:50:19,42.0
2015-08-26T09:03:11,29.0
2015-08-27T07:36:41,79.0
2015-08-27T08:56:45,62.0
2015-07-01T06:34:25,20.0
2015-07-01T06:54:33,77.0
2015-07-01T07:23:24,109.0
2015-07-01T07:46:23,26.0
2015-07-01T08:00:42,38.0
2015-07-01T08:35:59,134.0
2015-07-01T09:00:46,22.0
2015-07-01T09:29:55,60.0
2015-07-01T09:56:23,8.0
2015-07-02T06:29:01,25.0
2015-07-02T06:46:14,25.0
2015-07-02T07:23:56,133.0
2015-07-02T07:40:28,31.0
2015-07-02T07:57:13,23.0
2015-07-02T08:35:41,117.0
2015-07-02T09:07:52,26.0
2015-07-02T09:15:56,27.0
2015-07-02T09:53:38,71.0
2015-07-06T09:59:50,224.0
2015-07-06T06:27:34,37.0
2015-07-06T06:41:38,40.0
2015-07-06T07:08:47,42.0
2015-07-06T07:40:40,37.0
2015-07-06T07:53:38,23.0
2015-07-06T08:20:13,55.0
2015-07-06T08:34:27,41.0
2015-07-06T08:59:33,161.0
2015-07-06T09:08:19,8.0
2015-07-06T09:36:38,44.0
2015-07-06T09:54:13,72.0
2015-07-07T06:46:50,24.0
2015-07-07T07:23:57,144.0
2015-07-07T07:47:25,119.0
2015-07-07T08:34:33,51.0
2015-07-07T09:14:03,34.0
2015-07-07T09:55:09,41.0
2015-07-08T10:01:32,66.0
2015-07-08T06:35:53,229.0
2015-07-08T07:24:11,55.0
2015-07-08T07:27:32,26.0
2015-07-08T07:45:58,30.0
2015-07-08T08:36:12,80.0
2015-07-08T08:42:11,22.0
2015-07-08T08:50:33,33.0
2015-07-08T09:07:10,60.0
2015-07-08T09:54:25,33.0
2015-07-09T07:24:13,32.0
2015-07-09T08:37:38,24.0
2015-07-09T09:56:00,25.0
