Time,TT
2015-07-04T11:17:42,142.0
2015-07-04T13:13:35,180.0
2015-07-04T17:09:27,157.0
2015-07-25T11:19:50,150.0
2015-07-25T12:19:19,140.0
2015-07-25T13:25:14,202.0
2015-07-25T14:34:42,208.0
2015-07-25T15:38:03,174.0
2015-07-25T10:18:01,162.0
2015-08-02T12:35:06,180.0
2015-08-02T14:52:56,162.0
2015-08-02T10:24:47,162.0
2015-08-08T12:30:47,139.0
2015-08-08T14:30:38,146.0
2015-08-08T16:37:08,156.0
2015-08-08T10:24:22,159.0
2015-08-15T11:39:17,240.0
2015-08-15T16:58:27,200.0
2015-08-16T11:22:18,150.0
2015-08-16T13:32:12,157.0
2015-08-16T15:51:51,152.0
2015-08-23T12:22:13,178.0
2015-08-23T14:40:40,173.0
2015-08-23T10:15:38,151.0
2015-09-07T12:27:06,160.0
2015-09-07T14:24:46,175.0
2015-09-07T15:20:11,156.0
2015-09-07T16:20:49,193.0
2015-09-07T18:06:41,109.0
2015-09-07T10:19:13,168.0
2015-09-12T11:16:58,165.0
2015-09-12T13:20:42,211.0
2015-09-12T15:29:08,163.0
2015-09-12T17:24:49,170.0
2015-09-19T11:23:23,180.0
2015-09-20T11:16:06,170.0
2015-09-20T13:15:38,152.0
2015-09-20T15:17:21,150.0
2015-09-20T17:18:12,145.0
